method p l int.effect mode strategy n power
rbf 1 0.5 0.3 gmpml exp 100 0.075
rbf 1 0.5 0.3 gmpml average 100 0.06
rbf 1 0.5 0.3 gmpml erm 100 0.07
rbf 1 0.5 0.3 loocv exp 100 0.08
rbf 1 0.5 0.3 loocv average 100 0.06
rbf 1 0.5 0.3 loocv erm 100 0.075
rbf 2 1 0 AICc exp 100 0.065
rbf 2 1 0 AICc average 100 0.105
rbf 2 1 0 AICc erm 100 0.04
rbf 2 1 0 GCVc exp 100 0.035
rbf 2 1 0 GCVc average 100 0.03
rbf 2 1 0 GCVc erm 100 0.015
rbf 2 1 0 gmpml exp 100 0.015
rbf 2 1 0 gmpml average 100 0.03
rbf 2 1 0 gmpml erm 100 0.02
rbf 2 1 0 loocv exp 100 0.025
rbf 2 1 0 loocv average 100 0.025
rbf 2 1 0 loocv erm 100 0.01
rbf 2 1 0.1 AICc exp 100 0.565
rbf 2 1 0.1 AICc average 100 0.495
rbf 2 1 0.1 AICc erm 100 0.64
rbf 2 1 0.1 GCVc exp 100 0.6
rbf 2 1 0.1 GCVc average 100 0.53
rbf 2 1 0.1 GCVc erm 100 0.57
rbf 2 1 0.1 gmpml exp 100 0.49
rbf 2 1 0.1 gmpml average 100 0.545
rbf 2 1 0.1 gmpml erm 100 0.55
rbf 2 1 0.1 loocv exp 100 0.54
rbf 2 1 0.1 loocv average 100 0.525
rbf 2 1 0.1 loocv erm 100 0.51
rbf 2 1 0.2 AICc exp 100 0.685
rbf 2 1 0.2 AICc average 100 0.65
rbf 2 1 0.2 AICc erm 100 0.785
rbf 2 1 0.2 GCVc exp 100 0.725
rbf 2 1 0.2 GCVc average 100 0.765
rbf 2 1 0.2 GCVc erm 100 0.78
rbf 2 1 0.2 gmpml exp 100 0.695
rbf 2 1 0.2 gmpml average 100 0.69
rbf 2 1 0.2 gmpml erm 100 0.73
rbf 2 1 0.2 loocv exp 100 0.73
rbf 2 1 0.2 loocv average 100 0.71
rbf 2 1 0.2 loocv erm 100 0.75
rbf 2 1 0.3 AICc exp 100 0.705
rbf 2 1 0.3 AICc average 100 0.69
rbf 2 1 0.3 AICc erm 100 0.71
rbf 2 1 0.3 GCVc exp 100 0.76
rbf 2 1 0.3 GCVc average 100 0.77
rbf 2 1 0.3 GCVc erm 100 0.76
rbf 2 1 0.3 gmpml exp 100 0.75
rbf 2 1 0.3 gmpml average 100 0.71
rbf 2 1 0.3 gmpml erm 100 0.715
rbf 2 1 0.3 loocv exp 100 0.715
rbf 2 1 0.3 loocv average 100 0.77
rbf 2 1 0.3 loocv erm 100 0.74
rbf 3 1.5 0 AICc exp 100 0.07
rbf 3 1.5 0 AICc average 100 0.08
rbf 3 1.5 0 AICc erm 100 0.015
rbf 3 1.5 0 GCVc exp 100 0.02
rbf 3 1.5 0 GCVc average 100 0.02
rbf 3 1.5 0 GCVc erm 100 0.02
rbf 3 1.5 0 gmpml exp 100 0.02
rbf 3 1.5 0 gmpml average 100 0.015
rbf 3 1.5 0 gmpml erm 100 0.01
rbf 3 1.5 0 loocv exp 100 0.01
rbf 3 1.5 0 loocv average 100 0.02
rbf 3 1.5 0 loocv erm 100 0.025
rbf 3 1.5 0.1 AICc exp 100 0.83
rbf 3 1.5 0.1 AICc average 100 0.785
rbf 3 1.5 0.1 AICc erm 100 0.855
rbf 3 1.5 0.1 GCVc exp 100 0.8
rbf 3 1.5 0.1 GCVc average 100 0.795
rbf 3 1.5 0.1 GCVc erm 100 0.78
rbf 3 1.5 0.1 gmpml exp 100 0.73
rbf 3 1.5 0.1 gmpml average 100 0.735
rbf 3 1.5 0.1 gmpml erm 100 0.615
rbf 3 1.5 0.1 loocv exp 100 0.725
rbf 3 1.5 0.1 loocv average 100 0.7
rbf 3 1.5 0.1 loocv erm 100 0.71
rbf 3 1.5 0.2 AICc exp 100 0.865
rbf 3 1.5 0.2 AICc average 100 0.915
rbf 3 1.5 0.2 AICc erm 100 0.915
rbf 3 1.5 0.2 GCVc exp 100 0.915
rbf 3 1.5 0.2 GCVc average 100 0.925
rbf 3 1.5 0.2 GCVc erm 100 0.905
rbf 3 1.5 0.2 gmpml exp 100 0.875
rbf 3 1.5 0.2 gmpml average 100 0.915
rbf 3 1.5 0.2 gmpml erm 100 0.875
rbf 3 1.5 0.2 loocv exp 100 0.91
rbf 3 1.5 0.2 loocv average 100 0.885
rbf 3 1.5 0.2 loocv erm 100 0.885
rbf 3 1.5 0.3 AICc exp 100 0.93
rbf 3 1.5 0.3 AICc average 100 0.905
rbf 3 1.5 0.3 AICc erm 100 0.92
rbf 3 1.5 0.3 GCVc exp 100 0.935
rbf 3 1.5 0.3 GCVc average 100 0.88
rbf 3 1.5 0.3 GCVc erm 100 0.91
rbf 3 1.5 0.3 gmpml exp 100 0.91
rbf 3 1.5 0.3 gmpml average 100 0.91
rbf 3 1.5 0.3 gmpml erm 100 0.88
rbf 3 1.5 0.3 loocv exp 100 0.895
rbf 3 1.5 0.3 loocv average 100 0.935
rbf 3 1.5 0.3 loocv erm 100 0.88
matern_1.5 1 0.5 0 AICc exp 100 0.08
matern_1.5 1 0.5 0 AICc average 100 0.06
matern_1.5 1 0.5 0 AICc erm 100 0.025
matern_1.5 1 0.5 0 GCVc exp 100 0.055
matern_1.5 1 0.5 0 GCVc average 100 0.045
matern_1.5 1 0.5 0 GCVc erm 100 0.025
matern_1.5 1 0.5 0 gmpml exp 100 0.055
matern_1.5 1 0.5 0 gmpml average 100 0.045
matern_1.5 1 0.5 0 gmpml erm 100 0.005
matern_1.5 1 0.5 0 loocv exp 100 0.035
matern_1.5 1 0.5 0 loocv average 100 0.04
matern_1.5 1 0.5 0 loocv erm 100 0.005
matern_1.5 1 0.5 0.1 AICc exp 100 0.04
matern_1.5 1 0.5 0.1 AICc average 100 0.05
matern_1.5 1 0.5 0.1 AICc erm 100 0.025
matern_1.5 1 0.5 0.1 GCVc exp 100 0.025
matern_1.5 1 0.5 0.1 GCVc average 100 0.03
matern_1.5 1 0.5 0.1 GCVc erm 100 0.025
matern_1.5 1 0.5 0.1 gmpml exp 100 0.02
matern_1.5 1 0.5 0.1 gmpml average 100 0.01
matern_1.5 1 0.5 0.1 gmpml erm 100 0.01
matern_1.5 1 0.5 0.1 loocv exp 100 0.04
matern_1.5 1 0.5 0.1 loocv average 100 0.03
matern_1.5 1 0.5 0.1 loocv erm 100 0.025
matern_1.5 1 0.5 0.2 AICc exp 100 0.035
matern_1.5 1 0.5 0.2 AICc average 100 0.035
matern_1.5 1 0.5 0.2 AICc erm 100 0.015
matern_1.5 1 0.5 0.2 GCVc exp 100 0.025
matern_1.5 1 0.5 0.2 GCVc average 100 0.015
matern_1.5 1 0.5 0.2 GCVc erm 100 0.015
matern_1.5 1 0.5 0.2 gmpml exp 100 0.01
matern_1.5 1 0.5 0.2 gmpml average 100 0.01
matern_1.5 1 0.5 0.2 gmpml erm 100 0.01
matern_1.5 1 0.5 0.2 loocv exp 100 0.035
matern_1.5 1 0.5 0.2 loocv average 100 0.015
matern_1.5 1 0.5 0.2 loocv erm 100 0.03
matern_1.5 1 0.5 0.3 AICc exp 100 0.02
matern_1.5 1 0.5 0.3 AICc average 100 0.025
matern_1.5 1 0.5 0.3 AICc erm 100 0.02
matern_1.5 1 0.5 0.3 GCVc exp 100 0
matern_1.5 1 0.5 0.3 GCVc average 100 0.01
matern_1.5 1 0.5 0.3 GCVc erm 100 0
matern_1.5 1 0.5 0.3 gmpml exp 100 0.06
matern_1.5 1 0.5 0.3 gmpml average 100 0.02
matern_1.5 1 0.5 0.3 gmpml erm 100 0.035
matern_1.5 1 0.5 0.3 loocv exp 100 0.005
matern_1.5 1 0.5 0.3 loocv average 100 0.01
matern_1.5 1 0.5 0.3 loocv erm 100 0.005
matern_1.5 1 1 0 AICc exp 100 0.045
matern_1.5 1 1 0 AICc average 100 0.055
matern_1.5 1 1 0 AICc erm 100 0.015
matern_1.5 1 1 0 GCVc exp 100 0.02
matern_1.5 1 1 0 GCVc average 100 0.035
