method p l int.effect mode strategy n power
polynomial 3 1.5 0.3 loocv exp 100 0.64
polynomial 3 1.5 0.3 AICc exp 100 0.89
polynomial 2 1 0.3 GCVc exp 100 0.9
polynomial 3 1.5 0.3 GCVc exp 100 0.93
polynomial 2 1 0.3 gmpml exp 100 0.91
polynomial 3 1.5 0.3 gmpml exp 100 0.955
rbf 3 1.5 0 loocv exp 100 0.045
rbf 1 0.5 0 loocv exp 100 0
rbf 2 1 0 loocv exp 100 0.025
rbf 3 1.5 0 AICc exp 100 0.03
rbf 1 0.5 0 AICc exp 100 0.05
rbf 2 1 0 AICc exp 100 0.01
rbf 3 1.5 0 GCVc exp 100 0.03
rbf 2 1 0 GCVc exp 100 0.035
rbf 1 0.5 0 GCVc exp 100 0
rbf 3 1.5 0 gmpml exp 100 0.05
rbf 2 1 0 gmpml exp 100 0.03
rbf 1 0.5 0 gmpml exp 100 0
rbf 2 1 0.1 loocv exp 100 0.535
rbf 3 1.5 0.1 loocv exp 100 0.63
rbf 1 0.5 0.1 loocv exp 100 0.01
rbf 2 1 0.1 AICc exp 100 0.605
rbf 3 1.5 0.1 AICc exp 100 0.795
rbf 1 0.5 0.1 AICc exp 100 0.07
rbf 2 1 0.1 GCVc exp 100 0.56
rbf 3 1.5 0.1 GCVc exp 100 0.81
rbf 1 0.5 0.1 GCVc exp 100 0.01
rbf 2 1 0.1 gmpml exp 100 0.57
rbf 3 1.5 0.1 gmpml exp 100 0.77
rbf 1 0.5 0.1 gmpml exp 100 0
rbf 2 1 0.2 loocv exp 100 0.56
rbf 3 1.5 0.2 loocv exp 100 0.725
rbf 1 0.5 0.2 loocv exp 100 0
rbf 3 1.5 0.2 AICc exp 100 0.91
rbf 2 1 0.2 AICc exp 100 0.76
rbf 1 0.5 0.2 AICc exp 100 0.08
rbf 3 1.5 0.2 GCVc exp 100 0.92
rbf 2 1 0.2 GCVc exp 100 0.655
rbf 1 0.5 0.2 GCVc exp 100 0.045
rbf 3 1.5 0.2 gmpml exp 100 0.91
rbf 2 1 0.2 gmpml exp 100 0.74
rbf 1 0.5 0.2 gmpml exp 100 0.015
rbf 3 1.5 0.3 loocv exp 100 0.6
rbf 2 1 0.3 loocv exp 100 0.475
rbf 1 0.5 0.3 loocv exp 100 0.025
rbf 3 1.5 0.3 AICc exp 100 0.93
rbf 1 0.5 0.3 AICc exp 100 0.08
rbf 2 1 0.3 AICc exp 100 0.78
rbf 3 1.5 0.3 GCVc exp 100 0.945
rbf 1 0.5 0.3 GCVc exp 100 0.035
rbf 2 1 0.3 GCVc exp 100 0.71
rbf 2 1 0.3 gmpml exp 100 0.76
rbf 1 0.5 0.3 gmpml exp 100 0.035
rbf 3 1.5 0.3 gmpml exp 100 0.955
matern_1.5 1 0.5 0 loocv exp 100 0
matern_1.5 1 1 0 loocv exp 100 0
matern_2.5 2 1.5 0 loocv exp 100 0.04
matern_2.5 2 1 0 loocv exp 100 0.005
matern_1.5 1 1.5 0 loocv exp 100 0.02
matern_1.5 1 0.5 0 AICc exp 100 0
matern_1.5 1 1 0 AICc exp 100 0.04
matern_2.5 2 1.5 0 AICc exp 100 0.02
matern_1.5 1 1.5 0 AICc exp 100 0.01
matern_2.5 2 1 0 AICc exp 100 0.015
matern_1.5 1 1 0 GCVc exp 100 0
matern_1.5 1 0.5 0 GCVc exp 100 0
matern_1.5 1 1.5 0 GCVc exp 100 0.005
matern_2.5 2 1 0 GCVc exp 100 0.005
matern_2.5 2 1.5 0 GCVc exp 100 0.02
matern_1.5 1 1 0 gmpml exp 100 0
matern_1.5 1 0.5 0 gmpml exp 100 0
matern_1.5 1 1.5 0 gmpml exp 100 0.005
matern_2.5 2 1 0 gmpml exp 100 0
matern_2.5 2 1.5 0 gmpml exp 100 0.01
matern_1.5 1 1 0.1 loocv exp 100 0.015
matern_1.5 1 0.5 0.1 loocv exp 100 0
matern_1.5 1 1.5 0.1 loocv exp 100 0.285
matern_2.5 2 1 0.1 loocv exp 100 0.15
matern_2.5 2 1.5 0.1 loocv exp 100 0.58
matern_1.5 1 1 0.1 AICc exp 100 0.32
matern_1.5 1 0.5 0.1 AICc exp 100 0
matern_1.5 1 1.5 0.1 AICc exp 100 0.57
matern_2.5 2 1 0.1 AICc exp 100 0.405
matern_2.5 2 1.5 0.1 AICc exp 100 0.71
matern_1.5 1 1 0.1 GCVc exp 100 0.08
matern_1.5 1 0.5 0.1 GCVc exp 100 0
matern_1.5 1 1.5 0.1 GCVc exp 100 0.345
matern_2.5 2 1 0.1 GCVc exp 100 0.27
matern_1.5 1 1 0.1 gmpml exp 100 0.01
matern_2.5 2 1.5 0.1 GCVc exp 100 0.695
matern_1.5 1 0.5 0.1 gmpml exp 100 0
matern_1.5 1 1.5 0.1 gmpml exp 100 0.245
matern_2.5 2 1 0.1 gmpml exp 100 0.105
matern_1.5 1 1 0.2 loocv exp 100 0.085
matern_1.5 1 0.5 0.2 loocv exp 100 0.005
matern_2.5 2 1.5 0.1 gmpml exp 100 0.7
matern_1.5 1 1.5 0.2 loocv exp 100 0.475
matern_1.5 1 1 0.2 AICc exp 100 0.34
matern_2.5 2 1 0.2 loocv exp 100 0.385
matern_1.5 1 0.5 0.2 AICc exp 100 0
matern_1.5 1 1.5 0.2 AICc exp 100 0.71
matern_2.5 2 1.5 0.2 loocv exp 100 0.715
matern_1.5 1 1 0.2 GCVc exp 100 0.215
matern_1.5 1 0.5 0.2 GCVc exp 100 0.005
matern_2.5 2 1 0.2 AICc exp 100 0.52
matern_1.5 1 1.5 0.2 GCVc exp 100 0.625
matern_2.5 2 1.5 0.2 AICc exp 100 0.785
matern_1.5 1 1 0.2 gmpml exp 100 0.04
matern_1.5 1 0.5 0.2 gmpml exp 100 0
matern_2.5 2 1 0.2 GCVc exp 100 0.355
matern_1.5 1 1.5 0.2 gmpml exp 100 0.475
matern_1.5 1 1 0.3 loocv exp 100 0.105
matern_2.5 2 1.5 0.2 GCVc exp 100 0.825
matern_1.5 1 0.5 0.3 loocv exp 100 0
matern_2.5 2 1 0.2 gmpml exp 100 0.285
matern_1.5 1 1.5 0.3 loocv exp 100 0.615
matern_1.5 1 1 0.3 AICc exp 100 0.435
matern_1.5 1 0.5 0.3 AICc exp 100 0
matern_2.5 2 1.5 0.2 gmpml exp 100 0.835
matern_1.5 1 1.5 0.3 AICc exp 100 0.765
matern_2.5 2 1 0.3 loocv exp 100 0.445
matern_1.5 1 1 0.3 GCVc exp 100 0.29
matern_1.5 1 0.5 0.3 GCVc exp 100 0.01
matern_1.5 1 1.5 0.3 GCVc exp 100 0.65
matern_2.5 2 1 0.3 AICc exp 100 0.625
matern_2.5 2 1.5 0.3 loocv exp 100 0.74
matern_1.5 1 1 0.3 gmpml exp 100 0.075
matern_1.5 1 0.5 0.3 gmpml exp 100 0
matern_1.5 1 1.5 0.3 gmpml exp 100 0.59
matern_2.5 2 1 0.3 GCVc exp 100 0.445
matern_2.5 2 1.5 0.3 AICc exp 100 0.845
matern_2.5 2 1 0.3 gmpml exp 100 0.395
matern_2.5 2 1.5 0.3 GCVc exp 100 0.755
matern_2.5 2 1.5 0.3 gmpml exp 100 0.85
matern_2.5 2 0.5 0 loocv exp 100 0
matern_2.5 2 0.5 0 AICc exp 100 0
matern_2.5 2 0.5 0 GCVc exp 100 0
matern_2.5 2 0.5 0 gmpml exp 100 0
matern_2.5 2 0.5 0.1 loocv exp 100 0
matern_2.5 2 0.5 0.1 AICc exp 100 0.005
matern_2.5 2 0.5 0.1 GCVc exp 100 0.005
matern_2.5 2 0.5 0.1 gmpml exp 100 0
matern_2.5 2 0.5 0.2 loocv exp 100 0
matern_2.5 2 0.5 0.2 AICc exp 100 0.02
matern_2.5 2 0.5 0.2 GCVc exp 100 0
matern_2.5 2 0.5 0.2 gmpml exp 100 0
matern_2.5 2 0.5 0.3 loocv exp 100 0.005
matern_2.5 2 0.5 0.3 AICc exp 100 0.02
matern_2.5 2 0.5 0.3 GCVc exp 100 0.015
matern_2.5 2 0.5 0.3 gmpml exp 100 0
polynomial 1 0.5 0 AICc exp 100 0.045
polynomial 1 0.5 0 AICc average 100 0.045
