V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
polynomial,1,0.5,0,AIC,avg,1,0.085,0.08,148.4132,1,1.5794,-1.0183,75.7002,36.8752,1.7647
polynomial,1,0.5,0.05,AIC,avg,1,0.06,0.06,148.4132,1,1.5226,-0.8736,32.1452,43.037,1.7288
polynomial,1,0.5,0.1,AIC,avg,1,0.085,0.085,148.4132,1,1.6003,-0.7832,32.5674,108.2676,1.7296
polynomial,1,0.5,0.15,AIC,avg,1,0.105,0.105,148.4132,1,1.5275,-0.8397,42.1244,64.0113,1.7996
polynomial,1,0.5,0.2,AIC,avg,1,0.08,0.09,148.4132,1,1.6225,-0.7053,52.4762,16211.5349,1.5724
polynomial,1,0.5,0.25,AIC,avg,1,0.115,0.11,148.4132,1,1.6074,-0.8946,40.6743,50.4645,1.5439
polynomial,1,0.5,0.3,AIC,avg,1,0.105,0.11,148.4132,1,1.6806,-0.7912,58.3608,48.2296,1.6823
polynomial,1,0.5,0.4,AIC,avg,1,0.085,0.08,148.4132,1,1.6334,-0.8423,72.194,71.1773,1.6945
polynomial,1,0.5,0.5,AIC,avg,1,0.11,0.1,148.4132,1,1.6044,-0.7342,323.3112,211.6424,1.4842
polynomial,1,0.5,0.6,AIC,avg,1,0.07,0.065,148.4132,1,1.5403,-0.8756,167.1731,84.5683,1.7737
polynomial,1,0.5,0.7,AIC,avg,1,0.135,0.12,148.4132,1,1.6038,-0.916,174.9358,174.2037,1.5935
polynomial,1,0.5,0.8,AIC,avg,1,0.1,0.1,148.4132,1,1.6348,-0.6671,34.9362,63.4765,1.4833
polynomial,1,0.5,0.9,AIC,avg,1,0.075,0.07,148.4132,1,1.6615,-0.8971,52.6418,45.1478,1.7291
polynomial,1,0.5,1,AIC,avg,1,0.115,0.115,148.4132,1,1.5906,-0.7379,53.9086,41.8297,1.644
polynomial,1,0.5,0,BIC,avg,1,0.065,0.065,148.4132,1,1.0348,-0.721,37.4121,37.8564,1.9072
polynomial,1,0.5,0.05,BIC,avg,1,0.045,0.045,148.4132,1,1.0243,-0.4298,23.0313,54.4555,1.4464
polynomial,1,0.5,0.1,BIC,avg,1,0.105,0.11,148.4132,1,1.0597,-0.9217,42.4885,38.9524,1.9742
polynomial,1,0.5,0.15,BIC,avg,1,0.08,0.075,148.4132,1,1.0378,-0.6221,23.9552,121.6791,1.9294
polynomial,1,0.5,0.2,BIC,avg,1,0.115,0.095,148.4132,1,1.0808,-0.7009,29.7428,79.4858,1.8679
polynomial,1,0.5,0.25,BIC,avg,1,0.08,0.075,148.4132,1,1.0365,-1.0206,68.4472,41.8453,1.8659
polynomial,1,0.5,0.3,BIC,avg,1,0.07,0.065,148.4132,1,1.0354,-0.7772,32.3283,66.0637,1.5472
polynomial,1,0.5,0.4,BIC,avg,1,0.095,0.095,148.4132,1,1.0432,-0.6345,30.0018,38.1558,1.5746
polynomial,1,0.5,0.5,BIC,avg,1,0.1,0.095,148.4132,1,1.0406,-0.7506,25.1316,39.9496,1.9554
polynomial,1,0.5,0.6,BIC,avg,1,0.08,0.075,148.4132,1,1.0374,-0.9074,118.1543,49.2658,1.898
polynomial,1,0.5,0.7,BIC,avg,1,0.08,0.08,148.4132,1,1.0585,-0.5288,35.2532,38.0523,1.6281
polynomial,1,0.5,0.8,BIC,avg,1,0.095,0.085,148.4132,1,1.0772,-0.8304,55.3563,157.4418,1.6743
polynomial,1,0.5,0.9,BIC,avg,1,0.13,0.13,148.4132,1,1.0509,-0.8739,59.0691,36.5574,1.9409
polynomial,1,0.5,1,BIC,avg,1,0.065,0.06,148.4132,1,1.0414,-0.9112,54.5525,39.3932,2.1291
polynomial,1,0.5,0,GCV,avg,1,0.06,0.06,148.4132,1,1.5216,-0.8568,147.4257,43.1485,1.7946
polynomial,1,0.5,0.05,GCV,avg,1,0.085,0.08,148.4132,1,1.6449,-0.9659,40.6975,36.1166,1.7065
polynomial,1,0.5,0.1,GCV,avg,1,0.09,0.1,148.4132,1,1.6851,-0.8294,38.2088,67.9872,1.7536
polynomial,1,0.5,0.15,GCV,avg,1,0.105,0.115,148.4132,1,1.591,-0.9759,40.525,41.5964,1.9256
polynomial,1,0.5,0.2,GCV,avg,1,0.14,0.12,148.4132,1,1.5855,-0.9094,260.1954,68.5451,1.7172
polynomial,1,0.5,0.25,GCV,avg,1,0.095,0.1,148.4132,1,1.5691,-0.8725,181.1679,74.1394,1.76
polynomial,1,0.5,0.3,GCV,avg,1,0.09,0.1,148.4132,1,1.5723,-0.9678,63.0988,238.0101,1.7166
polynomial,1,0.5,0.4,GCV,avg,1,0.085,0.085,148.4132,1,1.4815,-0.6654,29.5433,36.7553,1.5021
polynomial,1,0.5,0.5,GCV,avg,1,0.11,0.11,148.4132,1,1.6436,-1.0003,55.4837,69.7113,1.732
polynomial,1,0.5,0.6,GCV,avg,1,0.06,0.07,148.4132,1,1.4622,-0.925,40.3388,48.1018,1.6879
polynomial,1,0.5,0.7,GCV,avg,1,0.11,0.1,148.4132,1,1.595,-0.4991,27.1562,59.4552,1.5438
polynomial,1,0.5,0.8,GCV,avg,1,0.1,0.105,148.4132,1,1.6297,-0.7947,46.6074,26.7412,1.5977
polynomial,1,0.5,0.9,GCV,avg,1,0.11,0.105,148.4132,1,1.5928,-0.6133,31.5839,113.6653,1.5381
polynomial,1,0.5,1,GCV,avg,1,0.085,0.09,148.4132,1,1.6309,-0.6508,30.5813,165.3388,1.6129
polynomial,1,0.5,0,AICc,avg,1,0.105,0.105,148.4132,1,1.5366,-0.4866,22.272,89.0456,1.4821
polynomial,1,0.5,0.05,AICc,avg,1,0.07,0.075,148.4132,1,1.4971,-0.6504,114.2192,39.8372,1.6346
polynomial,1,0.5,0.1,AICc,avg,1,0.065,0.065,148.4132,1,1.4187,-0.7669,26.9642,36.2414,1.5685
polynomial,1,0.5,0.15,AICc,avg,1,0.09,0.085,148.4132,1,1.5322,-0.7242,28.0418,47.794,1.6774
polynomial,1,0.5,0.2,AICc,avg,1,0.1,0.085,148.4132,1,1.5062,-0.799,58.8126,31.9491,1.774
polynomial,1,0.5,0.25,AICc,avg,1,0.09,0.085,148.4132,1,1.4457,-0.7492,570.1891,95.6809,1.7222
polynomial,1,0.5,0.3,AICc,avg,1,0.145,0.145,148.4132,1,1.561,-0.7888,28.9246,57.7258,1.5467
polynomial,1,0.5,0.4,AICc,avg,1,0.1,0.1,148.4132,1,1.4923,-0.7854,28.6702,32.6179,1.7199
polynomial,1,0.5,0.5,AICc,avg,1,0.065,0.055,148.4132,1,1.4143,-0.6287,28.7103,35.2959,1.5999
polynomial,1,0.5,0.6,AICc,avg,1,0.07,0.065,148.4132,1,1.5223,-1.0465,48.1925,137.5305,1.6676
polynomial,1,0.5,0.7,AICc,avg,1,0.13,0.115,148.4132,1,1.4722,-0.5384,21.888,1202.1052,1.5503
polynomial,1,0.5,0.8,AICc,avg,1,0.075,0.065,148.4132,1,1.5973,-0.6104,55.3946,70.8734,1.2851
polynomial,1,0.5,0.9,AICc,avg,1,0.085,0.08,148.4132,1,1.38,-0.7484,53.5849,274.3088,1.663
