method p l int.effect mode strategy n power
polynomial 1 0.5 0 AICc average 100 0.02
polynomial 1 0.5 0 AICc erm 100 0.03
polynomial 1 0.5 0 AICc exp 100 0.055
polynomial 1 0.5 0 GCVc average 100 0.04
polynomial 1 0.5 0 GCVc erm 100 0.05
polynomial 1 0.5 0 GCVc exp 100 0.075
polynomial 1 0.5 0 gmpml average 100 0.02
polynomial 1 0.5 0 gmpml erm 100 0.035
polynomial 1 0.5 0 gmpml exp 100 0.06
polynomial 1 0.5 0 loocv average 100 0.04
polynomial 1 0.5 0 loocv erm 100 0.04
polynomial 1 0.5 0 loocv exp 100 0.045
polynomial 1 0.5 0.1 AICc average 100 1
polynomial 1 0.5 0.1 AICc erm 100 1
polynomial 1 0.5 0.1 AICc exp 100 1
polynomial 1 0.5 0.1 GCVc average 100 1
polynomial 1 0.5 0.1 GCVc erm 100 1
polynomial 1 0.5 0.1 GCVc exp 100 1
polynomial 1 0.5 0.1 gmpml average 100 1
polynomial 1 0.5 0.1 gmpml erm 100 1
polynomial 1 0.5 0.1 gmpml exp 100 1
polynomial 1 0.5 0.1 loocv average 100 1
polynomial 1 0.5 0.1 loocv erm 100 1
polynomial 1 0.5 0.1 loocv exp 100 1
polynomial 1 0.5 0.2 AICc average 100 1
polynomial 1 0.5 0.2 AICc erm 100 1
polynomial 1 0.5 0.2 AICc exp 100 1
polynomial 1 0.5 0.2 GCVc average 100 1
polynomial 1 0.5 0.2 GCVc erm 100 1
polynomial 1 0.5 0.2 GCVc exp 100 1
polynomial 1 0.5 0.2 gmpml average 100 1
polynomial 1 0.5 0.2 gmpml erm 100 1
polynomial 1 0.5 0.2 gmpml exp 100 1
polynomial 1 0.5 0.2 loocv average 100 1
polynomial 1 0.5 0.2 loocv erm 100 1
polynomial 1 0.5 0.2 loocv exp 100 1
polynomial 1 0.5 0.3 AICc average 100 1
polynomial 1 0.5 0.3 AICc erm 100 1
polynomial 1 0.5 0.3 AICc exp 100 1
polynomial 1 0.5 0.3 GCVc average 100 1
polynomial 1 0.5 0.3 GCVc erm 100 1
polynomial 1 0.5 0.3 GCVc exp 100 1
polynomial 1 0.5 0.3 gmpml average 100 1
polynomial 1 0.5 0.3 gmpml erm 100 1
polynomial 1 0.5 0.3 gmpml exp 100 1
polynomial 1 0.5 0.3 loocv average 100 1
polynomial 1 0.5 0.3 loocv erm 100 1
polynomial 1 0.5 0.3 loocv exp 100 1
polynomial 2 1 0 AICc average 100 0.06
polynomial 2 1 0 AICc erm 100 0.025
polynomial 2 1 0 AICc exp 100 0.07
polynomial 2 1 0 GCVc average 100 0.025
polynomial 2 1 0 GCVc erm 100 0.045
polynomial 2 1 0 GCVc exp 100 0.065
polynomial 2 1 0 gmpml average 100 0.06
polynomial 2 1 0 gmpml erm 100 0.025
polynomial 2 1 0 gmpml exp 100 0.08
polynomial 2 1 0 loocv average 100 0.05
polynomial 2 1 0 loocv erm 100 0.055
polynomial 2 1 0 loocv exp 100 0.035
polynomial 2 1 0.1 AICc average 100 0.675
polynomial 2 1 0.1 AICc erm 100 0.735
polynomial 2 1 0.1 AICc exp 100 0.66
polynomial 2 1 0.1 GCVc average 100 0.725
polynomial 2 1 0.1 GCVc erm 100 0.785
polynomial 2 1 0.1 GCVc exp 100 0.665
polynomial 2 1 0.1 gmpml average 100 0.66
polynomial 2 1 0.1 gmpml erm 100 0.73
polynomial 2 1 0.1 gmpml exp 100 0.725
polynomial 2 1 0.1 loocv average 100 0.685
polynomial 2 1 0.1 loocv erm 100 0.805
polynomial 2 1 0.1 loocv exp 100 0.69
polynomial 2 1 0.2 AICc average 100 0.875
polynomial 2 1 0.2 AICc erm 100 0.875
polynomial 2 1 0.2 AICc exp 100 0.835
polynomial 2 1 0.2 GCVc average 100 0.855
polynomial 2 1 0.2 GCVc erm 100 0.855
polynomial 2 1 0.2 GCVc exp 100 0.86
polynomial 2 1 0.2 gmpml average 100 0.835
polynomial 2 1 0.2 gmpml erm 100 0.85
polynomial 2 1 0.2 gmpml exp 100 0.85
polynomial 2 1 0.2 loocv average 100 0.84
polynomial 2 1 0.2 loocv erm 100 0.895
polynomial 2 1 0.2 loocv exp 100 0.88
polynomial 2 1 0.3 AICc average 100 0.885
polynomial 2 1 0.3 AICc erm 100 0.88
polynomial 2 1 0.3 AICc exp 100 0.9
polynomial 2 1 0.3 GCVc average 100 0.845
polynomial 2 1 0.3 GCVc erm 100 0.935
polynomial 2 1 0.3 GCVc exp 100 0.88
polynomial 2 1 0.3 gmpml average 100 0.845
polynomial 2 1 0.3 gmpml erm 100 0.905
polynomial 2 1 0.3 gmpml exp 100 0.905
polynomial 2 1 0.3 loocv average 100 0.91
polynomial 2 1 0.3 loocv erm 100 0.89
polynomial 2 1 0.3 loocv exp 100 0.93
polynomial 3 1.5 0 AICc average 100 0.01
polynomial 3 1.5 0 AICc erm 100 0.08
polynomial 3 1.5 0 AICc exp 100 0.07
polynomial 3 1.5 0 GCVc average 100 0.065
polynomial 3 1.5 0 GCVc erm 100 0.05
polynomial 3 1.5 0 GCVc exp 100 0.055
polynomial 3 1.5 0 gmpml average 100 0.035
polynomial 3 1.5 0 gmpml erm 100 0.05
polynomial 3 1.5 0 gmpml exp 100 0.05
polynomial 3 1.5 0 loocv average 100 0.06
polynomial 3 1.5 0 loocv erm 100 0.025
polynomial 3 1.5 0 loocv exp 100 0.045
polynomial 3 1.5 0.1 AICc average 100 0.87
polynomial 3 1.5 0.1 AICc erm 100 0.855
polynomial 3 1.5 0.1 AICc exp 100 0.805
polynomial 3 1.5 0.1 GCVc average 100 0.835
polynomial 3 1.5 0.1 GCVc erm 100 0.845
polynomial 3 1.5 0.1 GCVc exp 100 0.855
polynomial 3 1.5 0.1 gmpml average 100 0.83
polynomial 3 1.5 0.1 gmpml erm 100 0.87
polynomial 3 1.5 0.1 gmpml exp 100 0.89
polynomial 3 1.5 0.1 loocv average 100 0.835
polynomial 3 1.5 0.1 loocv erm 100 0.88
polynomial 3 1.5 0.1 loocv exp 100 0.84
polynomial 3 1.5 0.2 AICc average 100 0.91
polynomial 3 1.5 0.2 AICc erm 100 0.895
polynomial 3 1.5 0.2 AICc exp 100 0.95
polynomial 3 1.5 0.2 GCVc average 100 0.905
polynomial 3 1.5 0.2 GCVc erm 100 0.935
polynomial 3 1.5 0.2 GCVc exp 100 0.955
polynomial 3 1.5 0.2 gmpml average 100 0.91
polynomial 3 1.5 0.2 gmpml erm 100 0.93
polynomial 3 1.5 0.2 gmpml exp 100 0.94
polynomial 3 1.5 0.2 loocv average 100 0.895
polynomial 3 1.5 0.2 loocv erm 100 0.935
polynomial 3 1.5 0.2 loocv exp 100 0.91
polynomial 3 1.5 0.3 AICc average 100 0.955
polynomial 3 1.5 0.3 AICc erm 100 0.955
polynomial 3 1.5 0.3 AICc exp 100 0.945
polynomial 3 1.5 0.3 GCVc average 100 0.945
polynomial 3 1.5 0.3 GCVc erm 100 0.91
polynomial 3 1.5 0.3 GCVc exp 100 0.915
polynomial 3 1.5 0.3 gmpml average 100 0.94
polynomial 3 1.5 0.3 gmpml erm 100 0.96
polynomial 3 1.5 0.3 gmpml exp 100 0.925
polynomial 3 1.5 0.3 loocv average 100 0.905
polynomial 3 1.5 0.3 loocv erm 100 0.935
polynomial 3 1.5 0.3 loocv exp 100 0.955
rbf 1 0.5 0 AICc average 100 0.09
rbf 1 0.5 0 AICc erm 100 0.075
rbf 1 0.5 0 AICc exp 100 0.11
rbf 1 0.5 0 GCVc average 100 0.06
rbf 1 0.5 0 GCVc erm 100 0.105
rbf 1 0.5 0 GCVc exp 100 0.085
rbf 1 0.5 0 gmpml average 100 0.1
rbf 1 0.5 0 gmpml erm 100 0.075
rbf 1 0.5 0 gmpml exp 100 0.095
rbf 1 0.5 0 loocv average 100 0.055
rbf 1 0.5 0 loocv erm 100 0.07
rbf 1 0.5 0 loocv exp 100 0.08
rbf 1 0.5 0.1 AICc average 100 0.075
rbf 1 0.5 0.1 AICc erm 100 0.06
rbf 1 0.5 0.1 AICc exp 100 0.085
rbf 1 0.5 0.1 GCVc average 100 0.075
rbf 1 0.5 0.1 GCVc erm 100 0.115
rbf 1 0.5 0.1 GCVc exp 100 0.07
rbf 1 0.5 0.1 gmpml average 100 0.095
rbf 1 0.5 0.1 gmpml erm 100 0.085
rbf 1 0.5 0.1 gmpml exp 100 0.055
rbf 1 0.5 0.1 loocv average 100 0.09
rbf 1 0.5 0.1 loocv erm 100 0.035
rbf 1 0.5 0.1 loocv exp 100 0.07
rbf 1 0.5 0.2 AICc average 100 0.065
rbf 1 0.5 0.2 AICc erm 100 0.08
rbf 1 0.5 0.2 AICc exp 100 0.1
rbf 1 0.5 0.2 GCVc average 100 0.075
rbf 1 0.5 0.2 GCVc erm 100 0.085
rbf 1 0.5 0.2 GCVc exp 100 0.09
rbf 1 0.5 0.2 gmpml average 100 0.08
rbf 1 0.5 0.2 gmpml erm 100 0.095
