method p l int.effect mode strategy n power
polynomial 3 1.5 0.2 GCVc average 100 0.375
polynomial 3 1.5 0.2 GCVc erm 100 0.635
polynomial 3 1.5 0.2 gmpml exp 100 0.275
polynomial 3 1.5 0.2 gmpml average 100 0.265
polynomial 3 1.5 0.2 gmpml erm 100 0.645
polynomial 3 1.5 0.2 loocv exp 100 0.41
polynomial 3 1.5 0.2 loocv average 100 0.315
polynomial 3 1.5 0.2 loocv erm 100 0.47
polynomial 3 1.5 0.3 AICc exp 100 0.865
polynomial 3 1.5 0.3 AICc average 100 0.85
polynomial 3 1.5 0.3 AICc erm 100 0.575
polynomial 3 1.5 0.3 GCVc exp 100 0.46
polynomial 3 1.5 0.3 GCVc average 100 0.485
polynomial 3 1.5 0.3 GCVc erm 100 0.66
polynomial 3 1.5 0.3 gmpml exp 100 0.48
polynomial 3 1.5 0.3 gmpml average 100 0.415
polynomial 3 1.5 0.3 gmpml erm 100 0.68
polynomial 3 1.5 0.3 loocv exp 100 0.545
polynomial 3 1.5 0.3 loocv average 100 0.51
polynomial 3 1.5 0.3 loocv erm 100 0.39
rbf 1 0.5 0 AICc exp 100 0.145
rbf 1 0.5 0 AICc average 100 0.15
rbf 1 0.5 0 AICc erm 100 0.015
rbf 1 0.5 0 GCVc exp 100 0.01
rbf 1 0.5 0 GCVc average 100 0.045
rbf 1 0.5 0 GCVc erm 100 0.01
rbf 1 0.5 0 gmpml exp 100 0.015
rbf 1 0.5 0 gmpml average 100 0.025
rbf 1 0.5 0 gmpml erm 100 0.025
rbf 1 0.5 0 loocv exp 100 0.01
rbf 1 0.5 0 loocv average 100 0.03
rbf 1 0.5 0 loocv erm 100 0.025
rbf 1 0.5 0.1 AICc exp 100 0.065
rbf 1 0.5 0.1 AICc average 100 0.065
rbf 1 0.5 0.1 AICc erm 100 0.075
rbf 1 0.5 0.1 GCVc exp 100 0.055
rbf 1 0.5 0.1 GCVc average 100 0.09
rbf 1 0.5 0.1 GCVc erm 100 0.03
rbf 1 0.5 0.1 gmpml exp 100 0.1
rbf 1 0.5 0.1 gmpml average 100 0.045
rbf 1 0.5 0.1 gmpml erm 100 0.06
rbf 1 0.5 0.1 loocv exp 100 0.03
rbf 1 0.5 0.1 loocv average 100 0.065
rbf 1 0.5 0.1 loocv erm 100 0.08
rbf 1 0.5 0.2 AICc exp 100 0.06
rbf 1 0.5 0.2 AICc average 100 0.125
rbf 1 0.5 0.2 AICc erm 100 0.075
rbf 1 0.5 0.2 GCVc exp 100 0.085
rbf 1 0.5 0.2 GCVc average 100 0.04
rbf 1 0.5 0.2 GCVc erm 100 0.06
