V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
polynomial,1,0.5,0,loocv,avg,1,0.045,0.045,3e-04,1,4.9885,13.7567,0.0098,0.1075,0.1092
polynomial,1,0.5,0.05,loocv,avg,1,0.68,0.665,3e-04,1,4.9877,13.667,0.0102,0.1051,0.1119
polynomial,1,0.5,0.1,loocv,avg,1,1,1,6e-04,1,4.9812,13.3398,0.012,0.1098,0.1267
polynomial,1,0.5,0.15,loocv,avg,1,1,1,9e-04,1,4.9681,13.0217,0.0141,0.1067,0.1512
polynomial,1,0.5,0.2,loocv,avg,1,1,1,9e-04,1,4.9546,12.669,0.0168,0.1113,0.1746
polynomial,1,0.5,0.25,loocv,avg,1,1,1,0.0015,1,4.9229,12.347,0.0198,0.1097,0.2134
polynomial,1,0.5,0.3,loocv,avg,1,1,1,0.0025,1,4.8921,12.0807,0.0226,0.1087,0.2432
polynomial,1,0.5,0.4,loocv,avg,1,1,1,0.0041,1,4.8603,11.5653,0.0293,0.1109,0.2986
polynomial,1,0.5,0.5,loocv,avg,1,1,1,0.0067,1,4.7588,11.176,0.0357,0.1134,0.3657
polynomial,1,0.5,0.6,loocv,avg,1,1,1,0.0067,1,4.6794,10.821,0.0426,0.1166,0.419
polynomial,1,0.5,0.7,loocv,avg,1,1,1,0.0111,1,4.5607,10.524,0.0494,0.117,0.4701
polynomial,1,0.5,0.8,loocv,avg,1,1,1,0.0111,1,4.4278,10.2774,0.056,0.1193,0.5308
polynomial,1,0.5,0.9,loocv,avg,1,1,1,0.0183,1,4.2849,10.0425,0.0631,0.1213,0.5756
polynomial,1,0.5,1,loocv,avg,1,1,1,0.0183,1,4.2217,9.8162,0.0707,0.1264,0.6197
polynomial,1,0.5,0,AICc,avg,1,0.06,0.055,2e-04,1,4.9871,13.7519,0.0098,0.1134,0.0987
polynomial,1,0.5,0.05,AICc,avg,1,0.735,0.715,2e-04,1,4.9876,13.6791,0.0101,0.1124,0.1082
polynomial,1,0.5,0.1,AICc,avg,1,0.995,0.995,3e-04,1,4.9821,13.3632,0.0119,0.106,0.1308
polynomial,1,0.5,0.15,AICc,avg,1,1,1,6e-04,1,4.9776,12.9932,0.0143,0.1064,0.1561
polynomial,1,0.5,0.2,AICc,avg,1,1,1,9e-04,1,4.9639,12.6677,0.0168,0.1042,0.1909
polynomial,1,0.5,0.25,AICc,avg,1,1,1,9e-04,1,4.9558,12.3611,0.0196,0.1085,0.2119
polynomial,1,0.5,0.3,AICc,avg,1,1,1,0.0015,1,4.9324,12.0433,0.023,0.1096,0.2493
polynomial,1,0.5,0.4,AICc,avg,1,1,1,0.0025,1,4.9177,11.5586,0.0294,0.1117,0.2917
polynomial,1,0.5,0.5,AICc,avg,1,1,1,0.0041,1,4.8441,11.1721,0.0356,0.112,0.3612
polynomial,1,0.5,0.6,AICc,avg,1,1,1,0.0041,1,4.7611,10.835,0.0422,0.116,0.4146
polynomial,1,0.5,0.7,AICc,avg,1,1,1,0.0067,1,4.7621,10.5202,0.0495,0.1222,0.4427
polynomial,1,0.5,0.8,AICc,avg,1,1,1,0.0067,1,4.6951,10.2993,0.0552,0.1224,0.4905
polynomial,1,0.5,0.9,AICc,avg,1,1,1,0.0111,1,4.523,10.062,0.0623,0.1223,0.5537
polynomial,1,0.5,1,AICc,avg,1,1,1,0.0111,1,4.5186,9.8307,0.07,0.1293,0.5875
polynomial,1,0.5,0,GCVc,avg,1,0.06,0.06,2e-04,1,4.9909,13.7798,0.0096,0.1066,0.1059
polynomial,1,0.5,0.05,GCVc,avg,1,0.745,0.72,2e-04,1,4.9882,13.6349,0.0104,0.1041,0.1163
polynomial,1,0.5,0.1,GCVc,avg,1,1,1,3e-04,1,4.9849,13.3453,0.012,0.1093,0.1272
polynomial,1,0.5,0.15,GCVc,avg,1,1,1,6e-04,1,4.9733,13.0004,0.0142,0.1103,0.1554
polynomial,1,0.5,0.2,GCVc,avg,1,1,1,6e-04,1,4.9689,12.6756,0.0168,0.1092,0.1761
polynomial,1,0.5,0.25,GCVc,avg,1,1,1,9e-04,1,4.954,12.3612,0.0196,0.1047,0.2186
polynomial,1,0.5,0.3,GCVc,avg,1,1,1,0.0015,1,4.9478,12.0641,0.0228,0.1104,0.2365
polynomial,1,0.5,0.4,GCVc,avg,1,1,1,0.0025,1,4.9177,11.5561,0.0294,0.112,0.2914
polynomial,1,0.5,0.5,GCVc,avg,1,1,1,0.0041,1,4.8546,11.1596,0.0359,0.1088,0.3743
polynomial,1,0.5,0.6,GCVc,avg,1,1,1,0.0041,1,4.8002,10.8188,0.0425,0.1204,0.4028
polynomial,1,0.5,0.7,GCVc,avg,1,1,1,0.0067,1,4.7143,10.5208,0.0494,0.1178,0.4668
polynomial,1,0.5,0.8,GCVc,avg,1,1,1,0.0067,1,4.6602,10.2586,0.0564,0.121,0.5182
polynomial,1,0.5,0.9,GCVc,avg,1,1,1,0.0111,1,4.6376,10.0238,0.0635,0.1275,0.5492
polynomial,1,0.5,1,GCVc,avg,1,1,1,0.0111,1,4.4907,9.8476,0.0694,0.1257,0.5985
polynomial,1,0.5,0,gmpml,avg,1,0.045,0.045,3e-04,1,4.9872,13.7732,0.0097,0.1057,0.1076
polynomial,1,0.5,0.05,gmpml,avg,1,0.76,0.735,3e-04,1,4.9889,13.6446,0.0103,0.1118,0.1037
polynomial,1,0.5,0.1,gmpml,avg,1,0.995,0.99,3e-04,1,4.9839,13.3781,0.0118,0.1076,0.1249
polynomial,1,0.5,0.15,gmpml,avg,1,1,1,6e-04,1,4.9677,13.0224,0.0141,0.1058,0.1565
polynomial,1,0.5,0.2,gmpml,avg,1,1,1,9e-04,1,4.9662,12.6481,0.017,0.1117,0.1744
polynomial,1,0.5,0.25,gmpml,avg,1,1,1,9e-04,1,4.9482,12.3503,0.0197,0.1135,0.2037
polynomial,1,0.5,0.3,gmpml,avg,1,1,1,0.0015,1,4.9276,12.0533,0.0229,0.1098,0.2453
polynomial,1,0.5,0.4,gmpml,avg,1,1,1,0.0025,1,4.9106,11.5644,0.0293,0.1125,0.2874
polynomial,1,0.5,0.5,gmpml,avg,1,1,1,0.0041,1,4.8353,11.1598,0.0359,0.1143,0.3581
polynomial,1,0.5,0.6,gmpml,avg,1,1,1,0.0041,1,4.7548,10.8245,0.0425,0.1129,0.424
polynomial,1,0.5,0.7,gmpml,avg,1,1,1,0.0067,1,4.73,10.529,0.0492,0.1186,0.458
polynomial,1,0.5,0.8,gmpml,avg,1,1,1,0.0111,1,4.5794,10.2832,0.0558,0.1233,0.5072
polynomial,1,0.5,0.9,gmpml,avg,1,1,1,0.0111,1,4.5424,10.0654,0.0622,0.1252,0.5403
polynomial,1,0.5,1,gmpml,avg,1,1,1,0.0183,1,4.3984,9.8502,0.0694,0.1265,0.5964
polynomial,2,1,0,loocv,avg,1,0.075,0.07,2e-04,1,10.9395,13.6991,0.0094,0.2186,0.0448
polynomial,2,1,0.05,loocv,avg,1,0.185,0.205,3e-04,1,10.929,13.6068,0.0099,0.2142,0.0481
polynomial,2,1,0.1,loocv,avg,1,0.555,0.535,6e-04,1,10.8458,13.3376,0.0113,0.216,0.0546
polynomial,2,1,0.15,loocv,avg,1,0.71,0.705,9e-04,1,10.7819,13.0012,0.0134,0.2111,0.0663
polynomial,2,1,0.2,loocv,avg,1,0.73,0.735,0.0015,1,10.6294,12.666,0.016,0.2047,0.0832
polynomial,2,1,0.25,loocv,avg,1,0.81,0.82,0.0025,1,10.463,12.3565,0.0188,0.2104,0.0957
polynomial,2,1,0.3,loocv,avg,1,0.9,0.87,0.0041,1,10.3365,12.1002,0.0215,0.2078,0.1103
polynomial,2,1,0.4,loocv,avg,1,0.885,0.86,0.0067,1,9.7936,11.6486,0.0274,0.1997,0.1613
polynomial,2,1,0.5,loocv,avg,1,0.875,0.865,0.0111,1,9.1704,11.2341,0.034,0.1937,0.2268
polynomial,2,1,0.6,loocv,avg,1,0.83,0.815,0.0183,1,8.7048,10.9131,0.0404,0.1955,0.2708
polynomial,2,1,0.7,loocv,avg,1,0.87,0.87,0.0183,1,8.1438,10.5888,0.0474,0.1853,0.342
polynomial,2,1,0.8,loocv,avg,1,0.895,0.88,0.0302,1,7.3619,10.3441,0.0548,0.1795,0.4389
polynomial,2,1,0.9,loocv,avg,1,0.905,0.9,0.0498,1,6.7406,10.045,0.0635,0.1815,0.5003
polynomial,2,1,1,loocv,avg,1,0.945,0.95,0.0498,1,6.356,9.936,0.0681,0.1768,0.5518
polynomial,2,1,0,AICc,avg,1,0.05,0.055,3e-04,1,10.9444,13.6919,0.0094,0.2138,0.046
polynomial,2,1,0.05,AICc,avg,1,0.235,0.225,3e-04,1,10.9332,13.5786,0.01,0.214,0.0487
polynomial,2,1,0.1,AICc,avg,1,0.615,0.595,6e-04,1,10.9098,13.31,0.0115,0.217,0.0548
polynomial,2,1,0.15,AICc,avg,1,0.71,0.7,6e-04,1,10.8907,13.0036,0.0134,0.2184,0.064
polynomial,2,1,0.2,AICc,avg,1,0.795,0.765,9e-04,1,10.8329,12.6825,0.0158,0.2159,0.0767
polynomial,2,1,0.25,AICc,avg,1,0.825,0.805,9e-04,1,10.7733,12.4195,0.0181,0.2076,0.0929
polynomial,2,1,0.3,AICc,avg,1,0.835,0.84,0.0015,1,10.735,12.2076,0.0203,0.21,0.1017
polynomial,2,1,0.4,AICc,avg,1,0.865,0.865,0.0025,1,10.5703,11.6444,0.0269,0.2233,0.1275
polynomial,2,1,0.5,AICc,avg,1,0.92,0.905,0.0041,1,10.3587,11.2534,0.033,0.216,0.1634
polynomial,2,1,0.6,AICc,avg,1,0.9,0.905,0.0041,1,10.2311,10.9783,0.0381,0.2299,0.1795
polynomial,2,1,0.7,AICc,avg,1,0.88,0.89,0.0067,1,9.945,10.6672,0.0446,0.2292,0.2208
polynomial,2,1,0.8,AICc,avg,1,0.915,0.91,0.0067,1,9.6756,10.4229,0.0508,0.2352,0.2489
polynomial,2,1,0.9,AICc,avg,1,0.92,0.9,0.0111,1,9.3152,10.2274,0.056,0.2344,0.2869
polynomial,2,1,1,AICc,avg,1,0.905,0.905,0.0111,1,9.0534,9.9581,0.0641,0.236,0.3164
polynomial,2,1,0,GCVc,avg,1,0.05,0.05,2e-04,1,10.9534,13.6951,0.0094,0.2197,0.0447
polynomial,2,1,0.05,GCVc,avg,1,0.175,0.19,3e-04,1,10.9481,13.5975,0.0099,0.2152,0.0484
polynomial,2,1,0.1,GCVc,avg,1,0.52,0.52,6e-04,1,10.9212,13.3069,0.0115,0.2175,0.055
polynomial,2,1,0.15,GCVc,avg,1,0.76,0.75,6e-04,1,10.9005,13.0079,0.0134,0.2136,0.0653
polynomial,2,1,0.2,GCVc,avg,1,0.755,0.74,9e-04,1,10.8646,12.7074,0.0156,0.2171,0.0745
polynomial,2,1,0.25,GCVc,avg,1,0.84,0.835,9e-04,1,10.8248,12.4025,0.0183,0.2274,0.0841
polynomial,2,1,0.3,GCVc,avg,1,0.865,0.865,0.0015,1,10.7503,12.0935,0.0214,0.2199,0.103
polynomial,2,1,0.4,GCVc,avg,1,0.9,0.89,0.0015,1,10.65,11.662,0.0267,0.2208,0.1282
polynomial,2,1,0.5,GCVc,avg,1,0.9,0.885,0.0025,1,10.4828,11.3036,0.032,0.2312,0.1485
polynomial,2,1,0.6,GCVc,avg,1,0.92,0.91,0.0041,1,10.2482,10.9933,0.038,0.225,0.1851
polynomial,2,1,0.7,GCVc,avg,1,0.88,0.88,0.0067,1,9.9865,10.633,0.0453,0.2308,0.2237
polynomial,2,1,0.8,GCVc,avg,1,0.895,0.89,0.0067,1,9.7562,10.3781,0.0516,0.2306,0.2526
polynomial,2,1,0.9,GCVc,avg,1,0.895,0.895,0.0067,1,9.6905,10.1932,0.0569,0.242,0.2693
polynomial,2,1,1,GCVc,avg,1,0.915,0.91,0.0111,1,9.347,10.0788,0.0611,0.2485,0.2968
polynomial,2,1,0,gmpml,avg,1,0.065,0.05,3e-04,1,10.9491,13.6994,0.0094,0.2142,0.0458
polynomial,2,1,0.05,gmpml,avg,1,0.275,0.285,3e-04,1,10.9433,13.6055,0.0099,0.2169,0.0477
polynomial,2,1,0.1,gmpml,avg,1,0.57,0.555,3e-04,1,10.9317,13.3389,0.0113,0.2164,0.0543
polynomial,2,1,0.15,gmpml,avg,1,0.75,0.72,6e-04,1,10.903,13.0166,0.0133,0.2197,0.0639
polynomial,2,1,0.2,gmpml,avg,1,0.76,0.765,9e-04,1,10.858,12.719,0.0155,0.212,0.077
polynomial,2,1,0.25,gmpml,avg,1,0.825,0.835,9e-04,1,10.8111,12.429,0.018,0.2194,0.0864
polynomial,2,1,0.3,gmpml,avg,1,0.875,0.875,0.0015,1,10.737,12.1103,0.0212,0.2139,0.104
polynomial,2,1,0.4,gmpml,avg,1,0.91,0.91,0.0025,1,10.6304,11.6499,0.0268,0.2246,0.1265
polynomial,2,1,0.5,gmpml,avg,1,0.865,0.855,0.0041,1,10.4017,11.2957,0.0324,0.2174,0.1616
polynomial,2,1,0.6,gmpml,avg,1,0.91,0.9,0.0041,1,10.1869,10.8723,0.0399,0.2252,0.1943
polynomial,2,1,0.7,gmpml,avg,1,0.93,0.93,0.0067,1,9.93,10.6515,0.0449,0.2177,0.2303
polynomial,2,1,0.8,gmpml,avg,1,0.885,0.89,0.0089,1,9.672,10.3605,0.0521,0.2254,0.2627
polynomial,2,1,0.9,gmpml,avg,1,0.935,0.93,0.0111,1,9.3953,10.1311,0.0585,0.2348,0.2946
polynomial,2,1,1,gmpml,avg,1,0.925,0.915,0.0111,1,9.2296,10.0063,0.0628,0.2447,0.3091
polynomial,3,1.5,0,loocv,avg,1,0.04,0.04,6e-04,1,17.9854,13.622,0.009,0.7325,0.0145
polynomial,3,1.5,0.05,loocv,avg,1,0.185,0.17,9e-04,1,17.7031,13.521,0.0095,0.7249,0.015
polynomial,3,1.5,0.1,loocv,avg,1,0.405,0.365,0.0015,1,17.1392,13.3254,0.0106,0.7804,0.0167
polynomial,3,1.5,0.15,loocv,avg,1,0.695,0.675,0.0025,1,16.5831,13.053,0.0124,0.7504,0.0198
polynomial,3,1.5,0.2,loocv,avg,1,0.765,0.74,0.0025,1,15.8184,12.8259,0.0142,0.725,0.0234
polynomial,3,1.5,0.25,loocv,avg,1,0.845,0.775,0.0041,1,14.9541,12.4957,0.017,0.7305,0.0282
polynomial,3,1.5,0.3,loocv,avg,1,0.845,0.83,0.0067,1,14.2566,12.2585,0.0195,0.7595,0.0341
polynomial,3,1.5,0.4,loocv,avg,1,0.855,0.83,0.0111,1,13.2703,11.7821,0.0256,0.7071,0.0495
polynomial,3,1.5,0.5,loocv,avg,1,0.92,0.885,0.0111,1,11.8802,11.3662,0.0325,0.8172,0.0949
polynomial,3,1.5,0.6,loocv,avg,1,0.935,0.895,0.0183,1,10.754,11.0663,0.0384,0.6633,0.104
polynomial,3,1.5,0.7,loocv,avg,1,0.915,0.89,0.04,1,9.642,10.7469,0.0463,0.6656,0.1582
polynomial,3,1.5,0.8,loocv,avg,1,0.915,0.915,0.0302,1,9.6117,10.6224,0.0505,0.6544,0.2
polynomial,3,1.5,0.9,loocv,avg,1,0.915,0.905,0.0498,1,8.6391,10.2718,0.0596,0.576,0.2848
polynomial,3,1.5,1,loocv,avg,1,0.95,0.94,0.0821,1,8.3508,10.134,0.0661,0.6713,0.3429
polynomial,3,1.5,0,AICc,avg,1,0.05,0.05,9e-04,1,17.4486,13.6085,0.0091,0.8926,0.0145
polynomial,3,1.5,0.05,AICc,avg,1,0.18,0.15,0.0015,1,17.3597,13.5435,0.0095,0.8043,0.015
polynomial,3,1.5,0.1,AICc,avg,1,0.525,0.51,0.0015,1,17.2372,13.3266,0.0106,0.7365,0.0165
polynomial,3,1.5,0.15,AICc,avg,1,0.7,0.7,0.0015,1,17.0101,13.0561,0.0122,0.7235,0.0191
polynomial,3,1.5,0.2,AICc,avg,1,0.785,0.785,0.0015,1,16.7117,12.774,0.0143,0.7145,0.0227
polynomial,3,1.5,0.25,AICc,avg,1,0.825,0.83,0.0015,1,16.5053,12.5555,0.0161,0.7617,0.025
polynomial,3,1.5,0.3,AICc,avg,1,0.87,0.855,0.0025,1,16.1985,12.279,0.0188,0.8029,0.0301
polynomial,3,1.5,0.4,AICc,avg,1,0.91,0.9,0.0025,1,15.8357,11.8548,0.0236,1.5438,0.037
polynomial,3,1.5,0.5,AICc,avg,1,0.93,0.92,0.0041,1,15.6082,11.6754,0.0266,1.3599,0.0415
polynomial,3,1.5,0.6,AICc,avg,1,0.9,0.89,0.0041,1,15.0055,11.1751,0.0339,0.8578,0.0517
polynomial,3,1.5,0.7,AICc,avg,1,0.975,0.965,0.0067,1,14.6874,10.9934,0.0385,0.8531,0.0603
polynomial,3,1.5,0.8,AICc,avg,1,0.93,0.92,0.0067,1,14.2539,10.6712,0.045,1.0079,0.0682
polynomial,3,1.5,0.9,AICc,avg,1,0.95,0.94,0.0067,1,14.2854,10.5672,0.0476,1.062,0.0778
polynomial,3,1.5,1,AICc,avg,1,0.96,0.955,0.0067,1,14.0319,10.4215,0.0519,0.9494,0.0812
polynomial,3,1.5,0,GCVc,avg,1,0.035,0.02,9e-04,1,17.7297,13.6293,0.009,0.7297,0.0142
polynomial,3,1.5,0.05,GCVc,avg,1,0.2,0.2,9e-04,1,17.7046,13.5495,0.0094,0.7676,0.0148
polynomial,3,1.5,0.1,GCVc,avg,1,0.55,0.55,9e-04,1,17.6077,13.346,0.0104,0.7319,0.0163
polynomial,3,1.5,0.15,GCVc,avg,1,0.66,0.665,9e-04,1,17.3814,13.0784,0.0121,0.896,0.0187
polynomial,3,1.5,0.2,GCVc,avg,1,0.76,0.76,0.0015,1,17.2427,12.8743,0.0135,0.7628,0.0201
polynomial,3,1.5,0.25,GCVc,avg,1,0.86,0.855,0.0015,1,16.856,12.5298,0.0163,0.7883,0.0263
polynomial,3,1.5,0.3,GCVc,avg,1,0.865,0.85,0.002,1,16.5659,12.3627,0.018,0.7697,0.0282
polynomial,3,1.5,0.4,GCVc,avg,1,0.925,0.91,0.0025,1,16.3518,11.9664,0.0223,0.7861,0.0338
polynomial,3,1.5,0.5,GCVc,avg,1,0.885,0.875,0.0025,1,15.9354,11.5602,0.0279,0.8462,0.0415
polynomial,3,1.5,0.6,GCVc,avg,1,0.925,0.905,0.0025,1,15.8667,11.2908,0.0319,0.896,0.0478
polynomial,3,1.5,0.7,GCVc,avg,1,0.955,0.95,0.0025,1,15.4308,11.0565,0.0367,0.9521,0.054
polynomial,3,1.5,0.8,GCVc,avg,1,0.935,0.935,0.0041,1,15.0623,10.7562,0.0423,0.9417,0.061
polynomial,3,1.5,0.9,GCVc,avg,1,0.955,0.945,0.0041,1,14.8876,10.5565,0.0472,0.9402,0.066
polynomial,3,1.5,1,GCVc,avg,1,0.96,0.955,0.0067,1,14.2707,10.3066,0.055,1.0207,0.0821
polynomial,3,1.5,0,gmpml,avg,1,0.025,0.035,3e-04,1,18.3729,13.6211,0.009,1.487,0.0135
polynomial,3,1.5,0.05,gmpml,avg,1,0.225,0.22,3e-04,1,18.3192,13.5351,0.0094,0.7543,0.0142
polynomial,3,1.5,0.1,gmpml,avg,1,0.495,0.475,6e-04,1,18.2039,13.3023,0.0106,0.7772,0.0161
polynomial,3,1.5,0.15,gmpml,avg,1,0.71,0.7,6e-04,1,18.0341,13.0563,0.0121,0.7677,0.0185
polynomial,3,1.5,0.2,gmpml,avg,1,0.75,0.75,9e-04,1,17.8484,12.8558,0.0136,0.7715,0.021
polynomial,3,1.5,0.25,gmpml,avg,1,0.82,0.805,9e-04,1,17.5585,12.5538,0.0159,0.7624,0.0238
polynomial,3,1.5,0.3,gmpml,avg,1,0.845,0.84,9e-04,1,17.3925,12.35,0.0178,0.82,0.0257
polynomial,3,1.5,0.4,gmpml,avg,1,0.865,0.86,0.0015,1,16.7342,11.8921,0.023,0.8668,0.0344
polynomial,3,1.5,0.5,gmpml,avg,1,0.93,0.925,0.0025,1,16.1913,11.5092,0.0281,0.7559,0.0442
polynomial,3,1.5,0.6,gmpml,avg,1,0.935,0.935,0.0025,1,15.9554,11.3278,0.0317,0.8988,0.0449
polynomial,3,1.5,0.7,gmpml,avg,1,0.945,0.94,0.0041,1,15.0479,10.9218,0.039,0.8912,0.0624
polynomial,3,1.5,0.8,gmpml,avg,1,0.945,0.935,0.0041,1,14.8899,10.6864,0.044,0.9445,0.0614
polynomial,3,1.5,0.9,gmpml,avg,1,0.965,0.96,0.0041,1,14.5849,10.4791,0.049,1.0841,0.0658
polynomial,3,1.5,1,gmpml,avg,1,0.95,0.945,0.0067,1,13.9953,10.237,0.0558,1.0279,0.0826
rbf,1,0.5,0,loocv,avg,1,0.035,0.035,6e-04,1,67.9464,12.9231,0.005,0.4748,0.0112
rbf,1,0.5,0.05,loocv,avg,1,0.04,0.04,6e-04,1,67.2114,12.8161,0.0054,0.4785,0.0119
rbf,1,0.5,0.1,loocv,avg,1,0.09,0.105,9e-04,1,62.8832,12.4977,0.0071,0.4861,0.0156
rbf,1,0.5,0.15,loocv,avg,1,0.08,0.115,0.0015,1,56.8122,12.163,0.0098,0.4654,0.0226
rbf,1,0.5,0.2,loocv,avg,1,0.09,0.14,0.0025,1,51.9475,11.8558,0.0127,0.4511,0.0298
rbf,1,0.5,0.25,loocv,avg,1,0.085,0.145,0.0041,1,46.7577,11.6033,0.016,0.4282,0.0404
rbf,1,0.5,0.3,loocv,avg,1,0.105,0.17,0.0041,1,43.3072,11.3544,0.0193,0.4295,0.0481
rbf,1,0.5,0.4,loocv,avg,1,0.06,0.115,0.0067,1,37.0763,10.9511,0.0263,0.4101,0.0703
rbf,1,0.5,0.5,loocv,avg,1,0.06,0.095,0.0067,1,32.7918,10.6272,0.033,0.3962,0.0924
rbf,1,0.5,0.6,loocv,avg,1,0.055,0.1,0.0111,1,28.4028,10.339,0.0406,0.37,0.1227
rbf,1,0.5,0.7,loocv,avg,1,0.085,0.11,0.0183,1,24.7625,10.1089,0.0479,0.3342,0.1613
rbf,1,0.5,0.8,loocv,avg,1,0.08,0.14,0.0183,1,21.8301,9.8787,0.0558,0.3285,0.2035
rbf,1,0.5,0.9,loocv,avg,1,0.105,0.14,0.0302,1,19.3336,9.691,0.0633,0.304,0.2493
rbf,1,0.5,1,loocv,avg,1,0.045,0.085,0.0302,1,16.7522,9.5214,0.0711,0.2952,0.3036
rbf,1,0.5,0,AICc,avg,1,0.08,0.015,0.0041,1,42.8885,12.5464,0.0108,0.4234,0.0268
rbf,1,0.5,0.05,AICc,avg,1,0.08,0.035,0.0041,1,42.5135,12.502,0.0111,0.4196,0.0276
rbf,1,0.5,0.1,AICc,avg,1,0.09,0.035,0.0041,1,40.6676,12.2605,0.0129,0.415,0.0328
rbf,1,0.5,0.15,AICc,avg,1,0.09,0.055,0.0067,1,37.2952,11.9626,0.0158,0.3949,0.0424
