method p l int.effect mode strategy n power
116 rbf 1 0.5 0.2 AICc average 100 0.125
117 rbf 1 0.5 0.2 GCVc erm 100 0.06
118 rbf 1 0.5 0.2 GCVc average 100 0.04
119 rbf 1 0.5 0.2 gmpml erm 100 0.095
120 rbf 1 0.5 0.2 gmpml average 100 0.095
121 rbf 1 0.5 0.3 loocv erm 100 0.115
122 rbf 1 0.5 0.3 loocv average 100 0.05
123 rbf 1 0.5 0.3 AICc erm 100 0.09
124 rbf 1 0.5 0.3 AICc average 100 0.105
125 rbf 1 0.5 0.3 GCVc erm 100 0.075
126 rbf 1 0.5 0.3 GCVc average 100 0.055
127 rbf 1 0.5 0.3 gmpml erm 100 0.12
128 rbf 1 0.5 0.3 gmpml average 100 0.16
129 rbf 2 1 0 loocv erm 100 0.07
130 rbf 2 1 0 loocv average 100 0.01
131 rbf 2 1 0 AICc erm 100 0.03
132 rbf 2 1 0 AICc average 100 0.035
133 rbf 2 1 0 GCVc erm 100 0.025
134 rbf 2 1 0 GCVc average 100 0
135 rbf 2 1 0 gmpml erm 100 0.07
136 rbf 2 1 0 gmpml average 100 0.035
137 rbf 2 1 0.1 loocv erm 100 0.535
138 rbf 2 1 0.1 loocv average 100 0.36
139 rbf 2 1 0.1 AICc erm 100 0.625
140 rbf 2 1 0.1 AICc average 100 0.56
141 rbf 2 1 0.1 GCVc erm 100 0.545
142 rbf 2 1 0.1 GCVc average 100 0.49
143 rbf 2 1 0.1 gmpml erm 100 0.67
144 rbf 2 1 0.1 gmpml average 100 0.425
145 rbf 2 1 0.2 loocv erm 100 0.595
146 rbf 2 1 0.2 loocv average 100 0.57
147 rbf 2 1 0.2 AICc erm 100 0.735
148 rbf 2 1 0.2 AICc average 100 0.71
149 rbf 2 1 0.2 GCVc erm 100 0.725
150 rbf 2 1 0.2 GCVc average 100 0.675
151 rbf 2 1 0.2 gmpml erm 100 0.75
152 rbf 2 1 0.2 gmpml average 100 0.635
153 rbf 2 1 0.3 loocv erm 100 0.565
154 rbf 2 1 0.3 loocv average 100 0.635
155 rbf 2 1 0.3 AICc erm 100 0.7
156 rbf 2 1 0.3 AICc average 100 0.71
157 rbf 2 1 0.3 GCVc erm 100 0.69
158 rbf 2 1 0.3 GCVc average 100 0.665
159 rbf 2 1 0.3 gmpml erm 100 0.725
160 rbf 2 1 0.3 gmpml average 100 0.73
161 rbf 3 1.5 0 loocv erm 100 0.045
162 rbf 3 1.5 0 loocv average 100 0.01
