V1,V2,V3,V4,V5,V6
100,rbf,0.3,AICc,loocv,0.64
100,rbf,0.3,AICc,average,0.755
100,rbf,0.3,GCVc,loocv,0.62
100,rbf,0.3,GCVc,average,0.675
100,rbf,0.3,gmpml,loocv,0.805
100,rbf,0.3,gmpml,average,0.68
100,polynomial,0,loocv,loocv,0.045
100,polynomial,0,loocv,average,0.015
100,polynomial,0,AICc,loocv,0.04
100,polynomial,0,AICc,average,0.03
100,polynomial,0,GCVc,loocv,0.05
100,polynomial,0,GCVc,average,0.02
100,polynomial,0,gmpml,loocv,0.055
100,polynomial,0,gmpml,average,0.005
100,polynomial,0.1,loocv,loocv,0.345
100,polynomial,0.1,loocv,average,0.145
100,polynomial,0.1,AICc,loocv,0.555
100,polynomial,0.1,AICc,average,0.37
100,polynomial,0.1,GCVc,loocv,0.59
100,polynomial,0.1,GCVc,average,0.17
100,polynomial,0.1,gmpml,loocv,0.565
100,polynomial,0.1,gmpml,average,0.135
100,polynomial,0.2,loocv,loocv,0.345
100,polynomial,0.2,loocv,average,0.37
100,polynomial,0.2,AICc,loocv,0.585
100,polynomial,0.2,AICc,average,0.67
100,polynomial,0.2,GCVc,loocv,0.67
100,polynomial,0.2,GCVc,average,0.355
100,polynomial,0.2,gmpml,loocv,0.69
100,polynomial,0.2,gmpml,average,0.305
100,polynomial,0.3,loocv,loocv,0.4
100,polynomial,0.3,loocv,average,0.525
100,polynomial,0.3,AICc,loocv,0.675
100,polynomial,0.3,AICc,average,0.79
100,polynomial,0.3,GCVc,loocv,0.675
100,polynomial,0.3,GCVc,average,0.625
100,polynomial,0.3,gmpml,loocv,0.73
100,polynomial,0.3,gmpml,average,0.465
