method p l int.effect mode strategy n power
matern_1.5 1 0.5 0.2 GCVc erm 100 0
matern_1.5 1 0.5 0.2 gmpml exp 100 0.02
matern_1.5 1 0.5 0.2 gmpml average 100 0.025
matern_1.5 1 0.5 0.2 gmpml erm 100 0.025
matern_1.5 1 0.5 0.2 loocv exp 100 0.025
matern_1.5 1 0.5 0.2 loocv average 100 0.02
matern_1.5 1 0.5 0.2 loocv erm 100 0.02
matern_1.5 1 0.5 0.3 AICc exp 100 0.03
matern_1.5 1 0.5 0.3 AICc average 100 0.025
matern_1.5 1 0.5 0.3 AICc erm 100 0.025
matern_1.5 1 0.5 0.3 GCVc exp 100 0.02
matern_1.5 1 0.5 0.3 GCVc average 100 0.005
matern_1.5 1 0.5 0.3 GCVc erm 100 0.005
matern_1.5 1 0.5 0.3 gmpml exp 100 0.035
matern_1.5 1 0.5 0.3 gmpml average 100 0.02
matern_1.5 1 0.5 0.3 gmpml erm 100 0.03
matern_1.5 1 0.5 0.3 loocv exp 100 0.03
matern_1.5 1 0.5 0.3 loocv average 100 0.005
matern_1.5 1 0.5 0.3 loocv erm 100 0.025
matern_1.5 1 1 0 AICc exp 100 0.01
matern_1.5 1 1 0 AICc average 100 0.015
matern_1.5 1 1 0 AICc erm 100 0.035
matern_1.5 1 1 0 GCVc exp 100 0.035
matern_1.5 1 1 0 GCVc average 100 0.005
matern_1.5 1 1 0 GCVc erm 100 0.035
matern_1.5 1 1 0 gmpml exp 100 0.03
matern_1.5 1 1 0 gmpml average 100 0.025
matern_1.5 1 1 0 gmpml erm 100 0.02
matern_1.5 1 1 0 loocv exp 100 0.07
matern_1.5 1 1 0 loocv average 100 0.005
matern_1.5 1 1 0 loocv erm 100 0.065
matern_1.5 1 1 0.1 AICc exp 100 0.48
matern_1.5 1 1 0.1 AICc average 100 0.315
matern_1.5 1 1 0.1 AICc erm 100 0.41
matern_1.5 1 1 0.1 GCVc exp 100 0.44
matern_1.5 1 1 0.1 GCVc average 100 0.225
matern_1.5 1 1 0.1 GCVc erm 100 0.385
matern_1.5 1 1 0.1 gmpml exp 100 0.51
matern_1.5 1 1 0.1 gmpml average 100 0.365
matern_1.5 1 1 0.1 gmpml erm 100 0.495
matern_1.5 1 1 0.1 loocv exp 100 0.4
matern_1.5 1 1 0.1 loocv average 100 0.255
matern_1.5 1 1 0.1 loocv erm 100 0.475
matern_1.5 1 1 0.2 AICc exp 100 0.545
matern_1.5 1 1 0.2 AICc average 100 0.39
matern_1.5 1 1 0.2 AICc erm 100 0.49
matern_1.5 1 1 0.2 GCVc exp 100 0.47
matern_1.5 1 1 0.2 GCVc average 100 0.28
matern_1.5 1 1 0.2 GCVc erm 100 0.39
matern_1.5 1 1 0.2 gmpml exp 100 0.605
matern_1.5 1 1 0.2 gmpml average 100 0.48
matern_1.5 1 1 0.2 gmpml erm 100 0.58
matern_1.5 1 1 0.2 loocv exp 100 0.42
matern_1.5 1 1 0.2 loocv average 100 0.31
matern_1.5 1 1 0.2 loocv erm 100 0.34
matern_1.5 1 1 0.3 AICc exp 100 0.51
matern_1.5 1 1 0.3 AICc average 100 0.435
matern_1.5 1 1 0.3 AICc erm 100 0.42
matern_1.5 1 1 0.3 GCVc exp 100 0.365
matern_1.5 1 1 0.3 GCVc average 100 0.33
matern_1.5 1 1 0.3 GCVc erm 100 0.355
matern_1.5 1 1 0.3 gmpml exp 100 0.565
matern_1.5 1 1 0.3 gmpml average 100 0.455
matern_1.5 1 1 0.3 gmpml erm 100 0.545
matern_1.5 1 1 0.3 loocv exp 100 0.44
matern_1.5 1 1 0.3 loocv average 100 0.28
matern_1.5 1 1 0.3 loocv erm 100 0.305
matern_1.5 1 1.5 0 AICc exp 100 0.06
matern_1.5 1 1.5 0 AICc average 100 0.015
matern_1.5 1 1.5 0 AICc erm 100 0.045
matern_1.5 1 1.5 0 GCVc exp 100 0.05
matern_1.5 1 1.5 0 GCVc average 100 0.005
matern_1.5 1 1.5 0 GCVc erm 100 0.045
matern_1.5 1 1.5 0 gmpml exp 100 0.1
matern_1.5 1 1.5 0 gmpml average 100 0.02
matern_1.5 1 1.5 0 gmpml erm 100 0.08
matern_1.5 1 1.5 0 loocv exp 100 0.08
matern_1.5 1 1.5 0 loocv average 100 0.03
matern_1.5 1 1.5 0 loocv erm 100 0.06
matern_1.5 1 1.5 0.1 AICc exp 100 0.72
matern_1.5 1 1.5 0.1 AICc average 100 0.61
matern_1.5 1 1.5 0.1 AICc erm 100 0.675
matern_1.5 1 1.5 0.1 GCVc exp 100 0.735
matern_1.5 1 1.5 0.1 GCVc average 100 0.52
matern_1.5 1 1.5 0.1 GCVc erm 100 0.67
matern_1.5 1 1.5 0.1 gmpml exp 100 0.815
matern_1.5 1 1.5 0.1 gmpml average 100 0.45
matern_1.5 1 1.5 0.1 gmpml erm 100 0.78
matern_1.5 1 1.5 0.1 loocv exp 100 0.575
matern_1.5 1 1.5 0.1 loocv average 100 0.43
matern_1.5 1 1.5 0.1 loocv erm 100 0.555
matern_1.5 1 1.5 0.2 AICc exp 100 0.81
matern_1.5 1 1.5 0.2 AICc average 100 0.8
matern_1.5 1 1.5 0.2 AICc erm 100 0.8
matern_1.5 1 1.5 0.2 GCVc exp 100 0.835
matern_1.5 1 1.5 0.2 GCVc average 100 0.675
matern_1.5 1 1.5 0.2 GCVc erm 100 0.76
matern_1.5 1 1.5 0.2 gmpml exp 100 0.865
matern_1.5 1 1.5 0.2 gmpml average 100 0.62
matern_1.5 1 1.5 0.2 gmpml erm 100 0.86
matern_1.5 1 1.5 0.2 loocv exp 100 0.74
matern_1.5 1 1.5 0.2 loocv average 100 0.665
matern_1.5 1 1.5 0.2 loocv erm 100 0.63
matern_1.5 1 1.5 0.3 AICc exp 100 0.895
matern_1.5 1 1.5 0.3 AICc average 100 0.83
matern_1.5 1 1.5 0.3 AICc erm 100 0.77
matern_1.5 1 1.5 0.3 GCVc exp 100 0.76
matern_1.5 1 1.5 0.3 GCVc average 100 0.7
matern_1.5 1 1.5 0.3 GCVc erm 100 0.73
matern_1.5 1 1.5 0.3 gmpml exp 100 0.885
matern_1.5 1 1.5 0.3 gmpml average 100 0.75
matern_1.5 1 1.5 0.3 gmpml erm 100 0.825
matern_1.5 1 1.5 0.3 loocv exp 100 0.725
matern_1.5 1 1.5 0.3 loocv average 100 0.68
matern_1.5 1 1.5 0.3 loocv erm 100 0.565
matern_2.5 2 0.5 0 AICc exp 100 0.06
matern_2.5 2 0.5 0 AICc average 100 0.05
matern_2.5 2 0.5 0 AICc erm 100 0.03
matern_2.5 2 0.5 0 GCVc exp 100 0.015
matern_2.5 2 0.5 0 GCVc average 100 0.035
matern_2.5 2 0.5 0 GCVc erm 100 0.025
matern_2.5 2 0.5 0 gmpml exp 100 0.015
matern_2.5 2 0.5 0 gmpml average 100 0.015
matern_2.5 2 0.5 0 gmpml erm 100 0.02
matern_2.5 2 0.5 0 loocv exp 100 0.02
matern_2.5 2 0.5 0 loocv average 100 0.025
matern_2.5 2 0.5 0 loocv erm 100 0.01
matern_2.5 2 0.5 0.1 AICc exp 100 0.055
matern_2.5 2 0.5 0.1 AICc average 100 0.06
matern_2.5 2 0.5 0.1 AICc erm 100 0.03
matern_2.5 2 0.5 0.1 GCVc exp 100 0.03
matern_2.5 2 0.5 0.1 GCVc average 100 0.03
