linear.pvalue quadratic.pvalue linear.boost.stat quadratic.boost.stat linear.true.stat quadratic.true.stat
1 1 0.00386048098462996 0.117156807148433 0.00275121913966567 0.0660693659945893
1 1 0.000873710711644339 0.0243256048258061 0.000855069982972129 0.0212337594176281
1 1 0.000827970504739612 0.0212383245842544 0.000477938206460419 0.0207118649255712
1 0 0.00134999886668705 0.0266157786136124 0.000372296961043241 0.0280252312411851
1 1 0.000540433241890269 0.0336463908248639 0.000404658827548378 0.032254045128694
1 1 0.00161355318855287 0.0388695450530692 0.00125748501388336 0.0350565094956484
0 0 0.000514028558779653 0.079543515448547 0.000532494016054526 0.0866626530951319
0 1 0.00103553194700264 0.0906401632928119 0.00112987908032395 0.0747465943356554
0 1 0.00027620785780668 0.0258026985052111 0.000282031944140073 0.025800782797776
0 0 0.0017812140358929 0.0365708150325663 0.00230090691619631 0.0401385646939079
1 0 0.00127312134259783 0.0270068807131065 0.00113646487128678 0.0298497414822469
0 1 0.000127590132772761 0.0372009960014224 0.000245662727903763 0.0330845869523221
1 0 0.000745108699307469 0.0438751672673891 0.000697576255846998 0.0441139149763335
0 0 0.000236864336576085 0.0303835247714448 0.000279002867241891 0.0309364497644912
1 0 0.000314691238174742 0.036467995344223 0.000173169181027339 0.0365945619012252
0 1 0.00173037330818798 0.0491014756372298 0.00237083312593652 0.0482650314383558
1 0 0.000775174495327014 0.0443585168765398 0.000400891376359806 0.0534412886440432
0 1 0.000300593783441274 0.0512046665758034 0.000351676505018844 0.0440913243754657
1 1 0.00154498193709424 0.0201384152070311 0.00085590953213338 0.0148822575959474
0 1 0.000167428269356812 0.0310586047800989 0.000190523451096827 0.025377105404469
0 1 0.000393899909543907 0.0322254439763974 0.000526663151623555 0.0315636343623283
1 1 0.000412776859940438 0.0356097483179614 0.000388131651664352 0.0274866507690593
1 1 9.34043895663609e-05 0.0132993958375988 9.19238986412727e-05 0.00797502742541629
1 1 0.000302912195252915 0.0174808567985306 7.03336943665509e-05 0.0168791977334719
1 0 0.00297095987265033 0.0634963487814636 0.0017091159184015 0.0751900181661197
1 1 0.000653390095328365 0.0395713884357481 0.000606417058285389 0.0366040370632528
0 1 0.000688875177222545 0.0611019753903581 0.000769912237705302 0.0586754512700638
0 1 0.000900877210983439 0.0443553839869838 0.00140140523164586 0.0382316656929124
1 0 0.00107164843701241 0.0323528918136995 0.000731642002863737 0.0356239054187257
0 0 0.00103126189179228 0.021712342927349 0.00119863671045022 0.0232599379449682
1 0 0.00106463585641481 0.0391520600255065 0.000995428064245904 0.0433409361551159
0 0 9.93493059120077e-05 0.0172688900018174 0.000191195538875637 0.0216193957258708
0 0 0.00115522171380003 0.0675529832875964 0.00142576522417666 0.0690197967840824
1 0 0.000451042509158755 0.0130431912238562 0.000325725639351986 0.0134045870202632
1 1 0.000916836235845121 0.0734888474983883 0.000867694349469317 0.0569403998012949
1 0 0.00139429432173708 0.0876273138098691 0.000937814299515286 0.0876562183491146
0 1 0.000261486268265228 0.0242124504237803 0.00027166670590156 0.0183576577303724
1 0 0.00160726542299865 0.0353248542491009 0.00156128007979456 0.0423080881293888
1 0 0.000498518077092433 0.075194481269461 0.00048115305861641 0.0810808358750052
0 1 3.94282042703792e-05 0.0302437142130164 9.42288721839582e-05 0.021071961831639
0 1 0.00114041769577414 0.0241512278302072 0.00148523561491388 0.0225676628806776
0 1 0.000130411923918629 0.0314271193266563 0.00019593337260685 0.0311945188154855
1 0 0.000362379938487403 0.0210113724817792 0.000172012110700926 0.0225042832815852
0 0 0.000283023069396411 0.0179998610781377 0.000615465396606663 0.0209119275373463
1 1 0.000237440703299047 0.0557588538806125 0.000223884357752047 0.054095767290457
1 1 0.00179537390723072 0.0583401731772941 0.00165165675035975 0.0556110927804375
1 0 0.000900093611735238 0.056154702012359 0.000595658126063912 0.0582459274665213
1 0 0.000119859192945253 0.0127963143780682 4.38205853417321e-05 0.0143972281058897
1 1 0.00049568427608257 0.0475961594120988 0.000244693544433274 0.0327376560350521
0 1 0.000423254031145468 0.0522274713374036 0.000824383953495672 0.0418275889741256
1 1 0.00390458189290393 0.0681143422957107 0.00352831862614094 0.0639454975411713
1 0 0.000161236654100138 0.00809468442090439 0.000127755509670911 0.00825509121344912
1 0 0.00011391400249743 0.0325301914344623 9.27883162173592e-05 0.0420619271685605
1 1 0.00041887699663828 0.0455666217073985 0.000203602288027374 0.0427267921350538
1 0 0.00106421379615436 0.0207152998697318 0.00040210061454866 0.0229447234520214
1 0 0.000485102555966135 0.0425216292615675 0.000222481822890965 0.0442425202059528
1 1 0.000652411214719937 0.0187395620943744 0.00046040677079475 0.0149105933094239
1 0 0.00211762741136416 0.0481700242497378 0.00165486501183897 0.0488282974718386
1 1 0.000567479975246997 0.0492864202608476 0.000258969984595689 0.0479666059784861
0 0 0.00150607375904606 0.0649570378219934 0.00184950786416377 0.0747903879320033
0 1 0.00136266753523476 0.0454574734695997 0.00170288008312198 0.0409535693205174
1 1 0.000198511016301638 0.0422856575654672 6.59691092406388e-06 0.0399103831140756
0 1 0.000661337167824644 0.0188428137248685 0.000906000912342598 0.0171276329283857
0 0 0.000826541432504025 0.0483219579889837 0.0008599119976933 0.0683237870725584
1 1 0.00156699220365887 0.0456808704699264 0.00100483960305279 0.0376155715660053
1 1 0.000142631093744422 0.0154292757060586 7.52015989495423e-05 0.0144250374119686
1 1 0.000945003206909591 0.058300177202752 0.000535055857975582 0.0582624223794106
1 0 0.000519659188105321 0.015424105499007 0.000282715304888864 0.0161908674211097
1 1 0.000485530404728865 0.0303633035024187 0.000354979174215401 0.028470008100568
1 1 0.00193123008980572 0.0237103295023509 0.00178312431750788 0.0216340121907032
1 1 0.000905830611648044 0.0380847117929008 0.000634043145633931 0.0308222181256321
1 1 4.89598170304587e-05 0.0121718485036943 2.99521627834198e-05 0.00941092629365441
1 1 0.00254023943807049 0.0881075353658639 0.00153268441257498 0.0852311286729478
1 1 8.01946259319489e-05 0.0109334186059298 1.76928229298908e-05 0.0100078432015121
1 0 0.00060890096432085 0.0523384305548274 0.00039475523400865 0.0589129785109924
1 0 0.00189726661321806 0.0458947983239572 0.00140660852211206 0.0486573498528468
0 0 0.00176702268348272 0.0498688191323827 0.00196550685020216 0.050613610421798
1 1 0.00330446506727669 0.0262681005542197 0.00146914744976984 0.0190058598946047
1 0 0.000905893980637249 0.00959155928682868 0.000514394085569555 0.00978547993698357
0 0 0.000238430142504985 0.113066693207467 0.000634738557253893 0.124741602201237
0 1 6.42568620161205e-05 0.00766941389484516 8.78509134944362e-05 0.00727588640159838
0 1 0.00036935943679623 0.0243951884850778 0.00063650509830375 0.0229635661755333
0 1 6.88517489201424e-05 0.0267571703340278 0.00010843211725633 0.0166889273024024
1 0 0.00160732158013665 0.0144115888102131 0.000966093713602358 0.017997185316103
