linear.pvalue quadratic.pvalue linear.boost.stat quadratic.boost.stat linear.true.stat quadratic.true.stat
1 1 0.000158935883429476 0.017212645254569 0.000152104206793035 0.0171507010681618
1 1 2.32797262701089e-05 0.0144628908146396 2.21291284501604e-05 0.0141223798849357
0 1 5.67057006956556e-05 0.0210047834851969 5.68267211851263e-05 0.0203993403376949
0 0 0.000122441495687813 0.0179518311305699 0.000125655882244526 0.0190277413105811
0 0 0.000126587114884819 0.0195721726372337 0.000126745963540337 0.0202092532845129
1 1 0.000102006926330011 0.00658916498312623 9.90902171677159e-05 0.00639235875711788
0 0 8.2628941569146e-05 0.0181391679318093 8.46266368145223e-05 0.0182724375977807
0 1 0.000211733837031431 0.0259936702136184 0.000215243916250008 0.0253428953682632
1 0 0.0001854925558069 0.0169206494445711 0.000182470814051154 0.0175054996622195
1 1 0.000279033594946102 0.0180896586584144 0.00027840920077413 0.0180801507903754
0 0 0.0002608028297725 0.0193536918726258 0.000265728259276397 0.0197395033159647
0 0 0.000132623825578072 0.0166061956025774 0.000133500880438414 0.0171088069424693
1 1 6.89139404400172e-05 0.0142394937007933 6.73152728134092e-05 0.0138747151547291
0 0 0.000161971269385438 0.0212997474579588 0.000165851392206011 0.0222063885420487
0 0 0.00022710818772876 0.0152913456580812 0.000227400853460331 0.0154573805473618
1 1 0.000222202189565029 0.014445687521898 0.000211743252418597 0.0141604010979353
0 0 0.000286756089952517 0.0194009905157512 0.000289074228382446 0.0197888074370461
0 0 1.85364279158837e-05 0.00707701124032581 1.95053730603506e-05 0.00720068787329425
0 1 0.000152068096518859 0.0182404895126913 0.000152128734125333 0.0178605234982076
1 0 0.000142702212254868 0.0146473643002027 0.00013603048521275 0.0147032843014635
1 1 0.000139656862057761 0.0153014853873442 0.000136473438712504 0.0150861397479646
0 0 4.60004711146654e-05 0.0188736277605419 4.8164485848386e-05 0.0192790369833165
1 0 3.17964596787773e-05 0.0138076871116437 3.09620869708832e-05 0.0140322907188394
0 0 4.85419772376132e-05 0.0215843735372921 4.92330357569711e-05 0.0218585739020095
0 0 0.000201587769706771 0.0155443138956166 0.000204476269987165 0.01596177300146
1 0 0.000269804589636803 0.0203407762378472 0.000268378184661519 0.0204192491246701
1 1 4.71613106372157e-05 0.0194039676611264 4.43258704127817e-05 0.0192577149928813
0 0 0.000180042797863473 0.0233633003416831 0.000184313055474179 0.0234825821377177
0 0 8.83567808909492e-05 0.0174430848903611 9.02434283765626e-05 0.0176074506091061
1 0 4.40482881546706e-05 0.0184365940792085 4.20180232662265e-05 0.0187250310313098
0 0 0.000177601854261112 0.0111668838353876 0.000182724465261394 0.0115910620581632
0 0 7.4358072756427e-05 0.0132543597604913 7.66315681462213e-05 0.0136932158761997
1 0 0.000217405427313808 0.0212550519540351 0.000214723701077841 0.02193049521032
1 1 0.000148784646143464 0.0185562875065036 0.000147765991621851 0.0184392662279175
1 1 0.000223898478360551 0.0205074791733034 0.000223040329653432 0.0200912875004785
0 0 6.70857684194885e-05 0.00714554342284975 6.73597935653072e-05 0.007217095131813
0 1 8.77825775152887e-05 0.0159470052236539 9.02079220225975e-05 0.0157733907724811
1 0 0.000216636904728473 0.01432142091969 0.000214270042523742 0.0144532026461527
1 0 2.83876936282159e-05 0.0207304151041294 2.68065421714758e-05 0.0215904352742699
1 0 0.000161505591739113 0.0183210717936178 0.000158743728733719 0.0186187629453259
1 1 2.63202597261951e-05 0.0180320376184486 2.59014237539422e-05 0.0178597471263205
1 0 5.42304907366201e-05 0.0202999103835613 5.18297459285096e-05 0.0204380562072511
1 1 0.000122729997505584 0.01689875263692 0.000119976646410392 0.0165578925021544
1 0 0.000426537635050275 0.0236433758783404 0.00041125577153169 0.0240958427254141
0 0 7.15154851417019e-05 0.0195538242192758 7.3360699883691e-05 0.0197693561427297
1 1 7.06774070814643e-05 0.023519065431398 6.75357925829529e-05 0.0229340250200084
0 0 0.000129626924822611 0.014242860099485 0.000130112556284809 0.0147960689434204
0 0 0.000253656109240355 0.0192772790708128 0.000254419422513606 0.0197544127967385
1 0 8.02054777663519e-05 0.0188358955665205 7.70682708015794e-05 0.0191540936121652
0 0 8.62426999935806e-05 0.00939523834829196 8.92997257015108e-05 0.00973531618404876
1 0 2.8949080149809e-05 0.00647691491489024 2.75479533061771e-05 0.00677566542207327
1 1 1.71984679519189e-05 0.0092182639717003 1.57277685675945e-05 0.00905675093521088
1 1 0.000248986219300514 0.019389739737999 0.000246159798460341 0.0191167989464664
1 0 8.68814812032385e-05 0.0189823931019162 8.19858908935425e-05 0.0194455108200591
