linear.pvalue quadratic.pvalue linear.boost.stat quadratic.boost.stat linear.true.stat quadratic.true.stat
1 0 0.000259521921015999 0.0272726290662275 0.00012354294313184 0.0275533592259456
1 0 0.000293185950558511 0.013999829886957 0.00015658130097693 0.0145553563797234
0 1 0.000108885205687373 0.00634910912579991 0.00012529673470167 0.0058251350632139
0 1 4.35147164196573e-05 0.00717169060102291 6.41989619429021e-05 0.00694947628713204
1 1 0.000338205218901335 0.0200052298236938 0.000288402060809617 0.0187600112362704
1 0 0.000133865643391301 0.0139947367507777 0.000104226685155804 0.0146629106573775
1 1 0.000180922623006253 0.00876258482515703 0.000123970887887079 0.0080476700887659
0 1 0.000100343319274028 0.0135436563466828 0.000164454327275816 0.0132836736002308
0 1 0.000132937672214568 0.0216092578945329 0.00016481329859898 0.0211301474833032
1 1 4.08514796852567e-05 0.0115158041235556 2.76533562654934e-05 0.0113437390386605
0 0 5.5308543954263e-05 0.0366094455837815 7.24034825956796e-05 0.0368237831855232
1 0 0.000135591140749134 0.0110571275131974 0.000126060299263444 0.0114263717222657
0 0 0.000214036947341027 0.0340656446665205 0.000245422914429081 0.0355913616919511
1 0 0.00026647099370119 0.0229599581510724 0.000197879477041396 0.0234971702432586
1 1 8.1812121730829e-05 0.0152862577385865 7.14842114631996e-05 0.014764072376319
1 1 0.000187208831053148 0.0205935204484188 0.000137867623419266 0.019701106932768
1 1 0.000363069327423073 0.0128418002256451 0.000212652898822791 0.0119351687769262
1 1 7.7315735390995e-05 0.0155518749172003 5.53720190611261e-05 0.0149269066155864
1 1 0.000182434763657494 0.012837526849201 0.000168675601885992 0.0124879503787042
0 1 3.84445077513024e-05 0.0155427024644748 6.8904086576693e-05 0.0149733005879408
0 0 0.000199416798774229 0.023150654275491 0.000266031020500561 0.0234716120705299
0 1 0.000178912175569054 0.0270033609430139 0.000207868834582382 0.0265659601750263
0 0 4.41477107956903e-05 0.0126207381612929 4.88562671841246e-05 0.0128186780588127
0 0 1.9606856495759e-05 0.0169671956254338 4.5094181293957e-05 0.0171367153035203
0 1 8.51508638510102e-05 0.0264814750868871 0.000114782354093923 0.0259880110007088
0 0 0.000399184713048271 0.0230236551590651 0.000558875807283542 0.0233178936425637
1 0 0.000534125443885124 0.0134020080821234 0.000496422699612472 0.0136308973689022
1 0 3.35109221186406e-05 0.0178498245718589 2.65389323650289e-05 0.0181595982777684
1 0 9.98070752076515e-05 0.0223056772612482 7.54128184854203e-05 0.0232585653039969
0 1 2.41437291766834e-05 0.0176949010837162 4.1514791349222e-05 0.0169419471038345
0 1 7.30709755695867e-05 0.02680352714574 0.000158367102469003 0.02530099071804
0 0 3.29926879849797e-05 0.0136049992779415 7.6042433469177e-05 0.0136775065328886
0 1 1.52982508914512e-05 0.0342716215281452 3.02190625327445e-05 0.0341638969424042
1 0 0.000206883392671249 0.016161101276504 0.000203183970210433 0.0165619044482356
0 1 0.000758438054776073 0.02247121961179 0.0010138065817118 0.0222621132392328
1 1 2.36155304740425e-05 0.0115601293217012 1.69825569363864e-05 0.0112765243499142
0 0 0.000580278121896357 0.0148978215303303 0.000692813609087947 0.0149799432589474
0 0 3.25303273125294e-05 0.0158367286608515 4.93051758089005e-05 0.0161675593872578
0 0 4.05204843540143e-06 0.00953217507738952 5.22502356835715e-06 0.0100952694232907
0 1 1.07341836840273e-05 0.00765498203215553 6.43688172319773e-05 0.00741693458973329
1 1 0.000310104074023841 0.0154549997157067 0.000308873634694246 0.0148780214817281
1 0 0.000101025772960939 0.0282387857053532 7.43285685604173e-05 0.028706747727718
0 1 0.000166711982753521 0.0295434276923942 0.00017983050987555 0.0286068264154758
1 0 0.000112180660094005 0.0183626237153149 8.00421695791509e-05 0.0189259250883922
0 0 0.000152732488010248 0.00890218497788238 0.000208727577061713 0.00942155339467843
0 0 5.04999608394226e-05 0.0139588491798904 7.41530914856088e-05 0.0144947829503757
1 0 0.000132376868165529 0.00476514112252237 6.57431813003909e-05 0.00481261078155642
0 0 0.000134342724204758 0.0160346656821645 0.000154726440315222 0.0163434391762834
1 0 0.000648714199755596 0.0229683949511356 0.000191808061433084 0.0242576570872661
1 0 0.000132890539168884 0.00734083443964788 0.000127785575411075 0.00757414563796483
0 1 0.00010311115929407 0.0377886785112368 0.000135074370947646 0.0370315201055775
0 0 4.73074744938721e-05 0.00404790184241426 5.33157008431719e-05 0.00446170463902923
1 1 0.000583628000695945 0.0191542045634565 0.000399842531186236 0.0189913035633042
1 0 0.000235262496113793 0.0314945722886947 0.000191838507717033 0.0318387253584782
0 1 0.000487568362229626 0.0307624556324901 0.000636540875484435 0.0300407793146467
1 0 0.00011099324911158 0.0190645024893511 6.20380281204561e-05 0.0199123645085787
0 1 3.92781145755794e-06 0.00608867010104025 9.86822468806953e-06 0.00561255486963448
0 0 9.81077876501156e-05 0.0179689264039923 0.000101321979979226 0.0189348632822485
1 0 0.000495270219808762 0.0183724027264907 0.000254099712821264 0.0186221905503346
1 0 8.02050395302432e-05 0.0336821522234546 6.53619925200194e-05 0.0343745320644468
1 0 1.20782237278528e-05 0.00614055248724659 6.94007036310131e-06 0.00617340104116493
1 0 0.000100360686329049 0.0224024425821485 8.21972115298739e-05 0.0226500086472748
0 0 8.2402545827619e-05 0.00546809490389955 0.000110610247356549 0.00578371108273199
1 1 0.000130534455310568 0.0209282063408241 5.45098565169767e-05 0.0207217299108697
1 0 3.61365698462423e-05 0.0263379367256803 1.63102060012321e-05 0.0264111878278028
1 1 1.83177094188044e-05 0.00635644957840687 7.40310302143011e-06 0.00607897428923271
0 0 4.67167868636405e-05 0.00739291238602917 5.43180820996896e-05 0.00791517136265057
1 0 0.000140265797546668 0.0187500252699702 0.000117535176899806 0.0195051075813654
0 0 0.000100035013072207 0.00661375840868975 0.000110637579901028 0.00688950322874568
0 1 0.000200379777959087 0.0128723225171982 0.000261066688501309 0.012400344809702
1 0 5.4385409296043e-05 0.00626569851075792 2.19626017774946e-05 0.00647654520602909
