linear.pvalue gaussian.pvalue quadratic.pvalue linear.boost.stat gaussian.boost.stat quadratic.boost.stat linear.true.stat gaussian.true.stat quadratic.true.stat
0 1 1 0.578186071308068 8220.28535717293 31843.203324223 1.39175814521171 2988.17596406449 201.455173179014
1 0 0 5.14163894995472 22289.6902645114 13211.7095589119 1.51374283677765 24245.6660168181 122864.47798205
1 0 1 4.15169446538168 1667.75523143384 182.576106977532 3.64920072902495 26380.5518785115 22.3212092648213
0 0 1 84.2785044671345 328.035314532588 298.577499406381 102.100443548766 440.613253492091 44.3352690939985
1 0 1 2.0913328224088 3840.37017966431 8220.77120903937 2.01583429919425 14409.0778664041 448.906108609927
1 1 1 3.56945926754982 16254.4913112838 3097.86205291598 2.15369869602274 13716.5355389881 248.49316424721
1 0 0 4.51719092228236 4506.07049153491 395.59922598264 1.76721081347929 8990.25892594655 104631.242300921
0 0 0 2.8236495222626 1581.93246349323 48348.8250892451 3.53115345806094 8749.72318445927 76692.2523292921
0 1 1 2.05719043861872 7115.56818018626 24225.4625807625 4.39412847379379 4219.75710262791 683.694474358094
0 0 1 1.43716843377033 1739.39476704447 599.477173653548 4.13181553312111 7656.1344455574 64.7213125783681
0 0 1 2.85903074993797 292.365098260684 45.3263535732077 10.138510277853 941.904757382206 23.2154586392264
0 1 1 1.3286032737871 5431.25667553014 1753.02491208305 1.33624664716386 1338.34349363237 1263.53072669398
0 1 1 5.0289488325747 2999.8485706938 23927.2687108891 162.985159792225 605.095157932361 94.7295539025326
0 1 0 3.87639829624737 15004.2700378875 106069.488735129 4.00179458131549 7956.44553762497 155100.646241249
1 0 1 6.15334731593272 3216.42411027976 36079.1909025125 1.46365202401139 10755.8365989867 468.462285592931
1 1 0 2.45225380804126 18816.2394099776 325.007903358168 1.57355659300772 3037.76533856762 784.46164695171
1 1 0 9.51609182989947 9744.87816281671 1563.0699927816 9.19856154254071 3656.09682341191 2244.20607682896
0 1 1 50.3951543791076 1194.59113226959 201.53298141734 70.1546018890272 452.165448888795 23.1992232248639
0 1 0 1.50080824654933 6517.78102849707 925.411224460769 2.56923438922389 2443.25750865514 101915.062660006
0 0 0 0.165681726110746 5654.03623429516 4477.01384092373 8.55231596358521 33644.0272160352 206603.808814412
0 1 1 3.30425096950026 997.643738757127 9571.57753454722 3.95169309442447 526.224153023862 347.685793782778
0 0 1 0.628750615476641 10878.8542433479 32941.803776365 5.41405925684473 17621.1425096863 11562.1955625226
1 0 1 1.49886918846972 4116.53818260043 27625.3286867978 1.4712397757944 4205.98707893146 1477.48931370808
1 1 1 1.35885515506901 12163.3371969542 42469.7985195075 0.648175010579416 5096.75847341881 2649.32818771124
0 1 1 0.923010661566993 2482.15744283086 42465.266692131 15.1616930757932 1900.7664295521 41819.094002847
