linear.pvalue gaussian.pvalue quadratic.pvalue linear.boost.stat gaussian.boost.stat quadratic.boost.stat linear.true.stat gaussian.true.stat quadratic.true.stat
0 0 0 3.69236620633264 8078.96992611618 162584.847055732 12.7776229229816 51350.3294694519 167946.585014231
0 0 0 2.18117027033624 21060.2780589924 112988.32990781 6.34314603666591 24018.9627730567 171642.697297111
1 1 0 3.2322756598833 22302.9734838821 26736.1324441889 1.43376297450512 20672.7800507742 103838.872932296
0 0 0 7.4977889492149 52714.0164522935 44530.7902993679 12.5216314667104 104322.24574075 92222.1207667551
0 0 1 79.7425733293334 1360.90554586057 8417.84335171675 275.675113615425 3130.5683855463 1987.2895834995
1 1 0 7.07692433525204 110684.196930515 30766.4685924782 2.70267421889184 44417.6649472423 40595.8396972294
0 0 1 7.43091240042941 57813.6910876399 140542.246133152 9.11940680507887 67471.705426652 121484.377859968
1 0 0 14.7612137220764 17813.511036385 23258.0719576529 7.67693357166268 23579.8218491453 97023.478156298
1 0 0 10.8299449981876 33442.4052295566 134864.993628477 3.87327762340337 84660.3802682944 202564.033876332
0 1 0 3.02766729295241 47609.0221349324 22440.0932887885 6.25972630636399 16159.8223585124 261276.081007658
0 0 0 9.90762483343884 25501.1105439751 78451.9944705776 10.1502527200424 88956.7223396167 157695.498047946
0 1 1 6.2148436475454 58033.855581126 64179.3688751418 7.1034179869951 13839.8398219318 12548.7400972309
1 1 1 2.73974302729474 11493.7647904312 111112.647587796 1.86029688785521 5893.6501796125 83186.0044819223
1 0 0 6.23335928473447 17992.5002303538 20397.3993370484 1.72244375413832 29557.563798935 66800.82748609
0 1 1 5.2362774212082 35860.938407139 52610.9007946664 5.72582124860037 6997.34187134709 2170.92659047603
1 0 0 18.5091659493402 33353.816599775 13367.7417659835 2.33171162931398 94072.09136443 211398.277078664
0 0 1 106.759715758552 18240.8927509435 109697.010171378 158.507201741411 58290.9054912682 19348.4030908833
1 1 1 13.8507513714606 62668.2657817245 230037.823198763 12.6866184037785 19465.4784844008 6957.41859614727
0 1 0 2.65074372927775 49041.8424035849 24355.7228864649 7.97168444577221 30401.4024615105 29983.8772204258
0 1 1 2.10780693050368 95590.1095559709 91151.6824973852 6.30771623702481 1727.50843101594 15689.0550567472
0 0 1 6.37218690756168 19253.2320228855 120084.268203614 20.1387574403596 44745.7032160023 12719.0989943152
0 0 1 7.64021988826899 23014.2153617761 216086.128069769 39.059351640148 50365.9639195281 77524.1041297454
1 1 1 10.6553321849462 35225.5471190082 16501.9935502221 9.87266748705466 7519.63256062616 1540.1794094687
1 1 1 32.6273769924116 13384.6860340635 61221.9121648405 19.5959131877153 12286.0945030268 6822.70731180908
0 1 0 4.4859106038469 69475.3893009347 56865.6734719817 9.21939548084017 29196.505703556 91698.0783355037
0 0 0 3008.62002263794 3981.10645383379 245.540491243962 40421.1745810408 32186.9761150808 70650.9362359543
0 1 1 8.31371858417392 40074.5775250302 133791.791891097 9.76753926627184 16129.3112457192 13185.3919201914
1 1 0 14.6023945114339 35015.7331739791 44366.6108002035 0.469559799699453 17833.7159708639 187577.44908971
0 0 1 6.15565536811733 20141.0681371097 230450.536161945 9.38673415981864 38938.9455169735 2580.76509137879
0 1 0 0.330322988265041 85545.9925218037 8631.83366902522 0.654887517502163 81620.6057689531 49976.7753322204
0 0 1 0.801284752222586 33927.7120743772 19578.5845752371 6.18084713619188 38773.3085225201 15135.3816864512
0 0 0 1.84792197493062 6022.13284195305 13031.9685730627 5.051703464673 23269.6315002401 105004.534339093
1 0 0 16.0588999229308 4614.18374058951 40088.8768549389 15.9661205528959 12339.1544613302 228684.531411114
0 1 0 6.89339319317843 33585.3276812341 64934.25088642 26.834027815367 23760.6771771842 120796.167641563
0 1 0 2.09811293368797 61705.1916991538 20120.4077567864 3.83072619472267 58037.5632549274 154276.841416008
0 0 0 3.95467026170066 25578.2161867098 152051.934572881 7.21528731475241 26383.7857547965 210320.950053071
0 0 1 3.45685545193186 3286.2923693505 50775.6946579172 4.60086649385472 14436.2527748013 8574.50722294269
0 1 1 21.5812017644768 6576.16934037461 12516.1340351763 33.0129837699915 2758.99171406569 756.049824865097
0 0 0 6.21144201624022 59844.9070600978 16578.0518385543 9.67662249314591 96914.2629720013 35133.8444172773
0 1 0 16.3509278513421 10873.640672646 23829.464804923 63.3922404809213 2355.84341200489 113935.758044792
0 1 1 1.54596797225644 45323.1526792225 65610.212781729 8.27431882754357 1936.46697629974 21452.5538479897
1 0 0 2.96494592675903 45085.9899435891 23285.4491347999 2.833689384244 61661.6289371322 59152.3114505778
1 1 1 75.7413917795043 6312.8618967864 136763.625001163 51.1023702809035 5364.85953665337 902.527713870974
1 1 1 32.567058380012 61643.7551729138 311253.570166189 12.3743809201973 26321.8303517192 106120.153205163
0 1 0 140.182678785443 29294.0640704226 1308.77034745906 142.412214084051 13827.2704973325 70653.8012648021
1 0 1 6.97203867081479 27593.7089086172 106235.379803052 3.72014886018757 99713.3718890457 27402.6270036797
1 0 1 126.364807246442 5208.87162371157 2701.0814623975 39.8059400206977 9833.66988750405 1492.83611091284
1 1 1 222.549095856846 21957.9212176109 31756.9095604747 73.6360026580767 1276.29551380987 8480.99974711037
0 0 0 4.02148544316904 16101.4381577556 21471.6465355512 6.36987898201582 57277.9741733066 136372.718117997
0 1 0 3.38974556881844 18844.3876791099 16288.4943414649 4.38606373798823 14802.3410524714 33634.6440796733
0 0 0 11.4631802964322 21079.7038289574 12807.0735937849 12.0636229235912 40580.5723120329 153518.907089491
0 1 1 4.54927324148351 51655.439542742 84153.2555813632 10.4188337940146 8996.23352493526 37528.7063727417
0 0 1 3.42909268125978 3506.53761306734 134633.117858845 4.57765126885909 58941.3712696287 34034.8771650242
0 1 0 12.1253909647624 41430.9253503307 17942.8452664278 16.2970176340072 37428.6858804856 132747.058678828
0 0 1 15.7303975334225 12858.0430629516 4212.54804520721 41.4106987645075 16268.3321758134 2524.46339292573
1 0 0 3.50172041184811 30796.7114702675 101339.481812213 2.75116150548008 33325.4716768147 185126.693807815
1 1 1 9.78599148477175 18239.5154081537 72702.4907268017 5.02161541225502 11082.58052662 22388.6478045814
0 0 0 0.799649778894918 8782.12246049845 14349.2662008052 13.4676493890785 17425.8753442293 35668.2029769839
0 0 1 18.945978250313 15179.1842173062 150493.207206903 84.535479749425 27326.6591851126 2779.77834342572
0 1 1 3.47968461815772 17639.829657726 215697.710457713 7.21352254167545 11290.3840656096 78267.2763159071
1 0 0 12.2580477665094 7283.32188689183 102594.830233131 0.594567287109317 98666.6862542509 235807.127555164
0 0 0 1.6923385744912 60718.4804956494 74107.92149339 7.33226767198928 88509.345546854 196717.260930017
1 1 0 50.7557981127001 26737.966430697 6394.39365956435 28.27086393994 4710.52217815328 61462.1388469375
0 1 0 12.101992753247 24680.1957352298 47537.2523080541 14.0644126126149 3710.14815121737 85275.2082540212
1 1 0 2.91615471092138 67559.1500958197 91375.5025356621 1.38034764460569 42475.6290869825 191355.120111776
0 0 0 4.24411070329385 8663.6781124047 12322.9800963335 12.6032880601768 48915.8580330755 136912.026045832
1 0 1 4.07116980719464 1947.17274191996 22016.7809044635 1.87376914565386 12724.9470566487 21633.467225811
0 0 1 50.7032602058244 5145.08467056345 28079.2627927442 240.443926204324 18471.9945009557 3389.73292678385
0 0 1 3.93409459397115 5412.11780976755 253663.151502539 9.69603758596556 28380.7804628073 5769.72136610719
0 1 1 0.258913757297481 51088.0421058381 128168.1261597 2.01275526712935 16362.4444095791 9796.36384347697
0 1 1 1.00736535838837 50495.2008381911 144338.747827521 7.73450077299449 24556.0230108274 8835.48586867749
1 1 1 4.6842703371834 33143.3668850559 74561.2833814607 0.736288020984429 6943.47414859102 24475.4071964434
1 0 0 1.66136662145958 15611.1233474673 8388.08341761161 1.45489182060074 38451.8759955159 30055.2071726736
0 0 1 8.90146101154908 8114.64998128387 273477.597916702 33.8041165741583 20973.3987823625 85432.9674090005
1 1 1 6.42868667273943 74527.6811865152 137238.295092083 5.90437353169595 3733.56196586548 911.873559498414
1 1 0 6.50633175092014 66052.8840834796 34617.1556691013 3.78386052603973 36817.9858573774 80589.5953815903
0 1 1 2.91752275758135 15728.0674329251 55037.0620254182 9.23576069631451 14393.6892344312 4632.43977723462
0 1 0 4.18438269025972 34309.4722157161 100303.707403358 4.68539642887566 32895.7446156177 315887.874436275
0 0 0 1.0784183557166 14965.1138982333 154537.696700926 9.50948286905895 28408.7943650909 200410.149684573
1 0 0 4.13631706556647 20266.668036752 13931.7873215016 2.56391704904136 99398.7250548432 79663.371001719
1 0 0 10.2658679926317 31598.4385180516 11813.2004705645 4.33025162960113 40854.3713867954 159570.848683367
1 0 1 91.9249013289992 14592.4766439364 6231.30788442334 21.4838644834858 20733.984087113 1450.0262276215
