linear.pvalue gaussian.pvalue quadratic.pvalue linear.boost.stat gaussian.boost.stat quadratic.boost.stat linear.true.stat gaussian.true.stat quadratic.true.stat
0 1 1 4.96222001280577 5650.61893758704 13467.6993426361 24.2297643995926 3728.12306637113 9890.96797683958
0 1 0 2.84265953124961 32006.1921423151 98552.3744819417 28.2253389756397 16205.1470424658 113808.594171006
1 1 1 11.6957293500374 16406.073199609 56432.3791341304 9.39048066692571 8348.0706927896 38679.042142048
0 1 1 4.24900995080324 29444.444543546 113980.542478435 17.0903712692361 8563.85442267389 7630.10045747603
0 0 1 3.08513700312221 30471.6075107957 12881.4743702962 23.3226550436286 70420.9306585886 1717.02190712907
0 0 0 5.62873534719883 21218.2469644514 3038.24869920744 22.7608801826723 28841.9865459321 329736.990983186
0 1 0 8.97315232753476 19328.8998075176 9250.41954500358 17.9248903593833 5912.89006524693 126912.26429185
0 0 1 1.76809521967651 5795.79119721062 8208.13677641742 4.92438007409587 7149.73596130306 2115.84844867376
0 0 0 1.64131663902344 11408.5349706346 16756.4237005607 26.7466236822739 91127.2215158861 42602.1840756455
0 0 0 11.3067487786708 12275.4833590738 1472.15353844928 15.4777610211672 22882.8696456992 13301.6404036962
0 0 1 7.4583638485596 14673.62200969 15077.2046886408 11.3723721806335 17010.3432243991 483.9905950344
0 1 1 7.33264569978579 76981.788376014 110974.768673618 11.7033005819755 26096.7881015122 19372.0422067514
0 0 1 3.22479000044723 68538.7310834092 129488.661667607 31.5673637998416 109168.274449979 43517.1865250827
0 1 1 2.70851017257312 12433.8219674033 136352.157907065 22.6501328410462 6702.1666673771 48113.8720796031
1 0 1 9.44835489772102 32104.4679646113 94607.1054954412 7.30366140357121 51482.2551811074 5798.47680373722
0 1 1 0.813949793393137 37480.4463444612 111538.382173222 5.50727635942531 8188.06770066278 51419.2212454451
0 0 0 3.40002126020085 7958.99856443204 8051.70244573241 17.2876350663314 107307.150600526 35032.5492374711
0 1 1 15.5144843480925 43494.4408332947 79391.2460708306 22.6537370711092 27075.3469857864 1072.56416052495
1 0 0 5.02162802924982 1841.1780849041 8423.73601724724 4.27722560775607 20982.0356416427 75834.6009520183
0 1 1 3.43413054295481 59448.2702252593 25851.284901711 16.6509979891988 50891.6217146015 23249.5954389666
0 0 1 3.88878890486878 18609.5455714838 164823.023301486 11.1534340026449 57487.9484478271 158547.936799634
0 1 0 1.77949070962756 15498.0821800571 6492.2028639261 10.0189971928849 7897.17913277867 59869.4773694714
0 1 0 3.96553079657747 39719.705525945 38086.9515475945 60.6666445833981 16801.8500894281 57063.2235582085
0 0 0 5.3197417678521 17123.1715037864 13742.2721322649 14.007179494728 51424.2541496372 255931.366626713
0 1 1 7.77673236168672 88700.5745320857 112880.679211223 14.2801411285685 12983.4696704035 9085.99916240413
0 1 1 2.57926125353769 14529.9396848575 124919.792892732 9.47333656702229 5300.67781192106 20009.1559050879
0 1 1 10.8974063392316 37363.7814187968 149328.653829675 32.2503298128391 34254.839425482 76558.2194035609
1 1 1 9.93916173184026 49142.1018741466 121037.414429716 3.8555137651538 36495.9672988452 59793.0190564707
0 0 1 0.75931940851818 15140.9852007398 69555.4762752932 8.10702949665603 44284.584862376 18610.6918683701
1 1 1 8.43720015687219 96656.1142396567 15021.179511412 6.79199930716986 13158.6091322525 14787.7384815018
0 0 1 4.68530129985517 22804.768393065 56878.5848862733 12.6009291757183 26665.8657356101 12665.6291896237
0 0 1 1.30261563159139 38305.5796570007 82004.826234274 7.21863057001068 40181.9759100649 17870.3340418555
0 0 0 5.80049806535414 25385.7920816304 55724.0798485075 10.8984078167983 63852.9196340556 183655.257644051
