linear.pvalue quadratic.pvalue linear.boost.stat quadratic.boost.stat linear.true.stat quadratic.true.stat
1 0 6.31409612892656e-06 0.0051877311622827 3.81187226234829e-06 0.00543794502132531
0 0 8.98374164695581e-05 0.0163922925981197 9.62880924186689e-05 0.0166496742799204
1 1 0.000150665732948487 0.0145845836196442 0.000138454389365282 0.0142167853389213
0 0 1.01510720741257e-05 0.00240109646667418 1.05378202743444e-05 0.00255963059129024
0 0 6.05248580116364e-05 0.0103007030084709 6.92515882449714e-05 0.0106002301679301
0 0 8.47986251198387e-06 0.00473923646488096 1.05229800155628e-05 0.00495837599857974
1 0 4.53434811577005e-05 0.00482197134884635 1.65947217066884e-05 0.00497976893936522
1 1 4.73605104858676e-05 0.00893993728283583 4.32033677312232e-05 0.00883276582446269
1 0 0.000117714528188213 0.0128338338898499 0.000115804959775262 0.0130379819340386
1 1 9.28471142018971e-05 0.00972737139477738 7.70763255933403e-05 0.0089970047912318
0 1 8.20159301431705e-05 0.0117356244550922 0.000105958169375875 0.0116395308373117
0 1 6.24042814879155e-06 0.00424077992565789 1.39007018762636e-05 0.00410380255272095
0 0 2.16077276737836e-05 0.00434195161429619 2.27751721746244e-05 0.00472540249322746
0 0 2.05187748616764e-06 0.00199335262260618 3.96486958195206e-06 0.00227274294918183
0 1 9.35813283682686e-06 0.0112196112074104 1.03090984335201e-05 0.0106091834158712
1 1 3.97537870985544e-06 0.00437137589713376 2.44829531469978e-06 0.00436016973836923
0 0 3.08308096967475e-05 0.00391727002641463 3.54071378014464e-05 0.0040596396995296
1 0 8.30842959842622e-05 0.00764376902404044 4.78680591595803e-05 0.00884751861074569
1 0 1.10133727870928e-05 0.00443341958247126 9.50346126084824e-06 0.00458775344490203
1 1 0.000150397640624082 0.00759018531084737 9.24624972754259e-05 0.00746349022048305
0 0 4.30108479333957e-05 0.00647902348921764 5.00742634359391e-05 0.0066395456893728
1 1 9.68665183716957e-06 0.00591589979628559 6.23565330911851e-06 0.00585409902365484
1 0 7.61840794691751e-05 0.00757189837574319 5.27587478439746e-05 0.00758332727234961
1 0 1.10955878227636e-05 0.0117297891737673 8.2530793042915e-06 0.0118083986162457
0 1 1.74287939072051e-05 0.00411299452618968 1.85043770551373e-05 0.00394591507786812
0 0 2.11890338580391e-05 0.00401918040543354 2.23664928147305e-05 0.00411916300299042
0 0 1.88671876066493e-05 0.00714982620659136 2.19986941018418e-05 0.00733262869156418
1 1 1.84960740072084e-05 0.00971465577000349 1.75395892955991e-05 0.00933473339411177
1 1 3.23044193501447e-05 0.0072395269017797 2.3470836970375e-05 0.00697204601585627
1 1 4.536150578987e-05 0.00479540980396455 4.14091921680576e-05 0.00462539917331683
1 1 3.83298154850316e-05 0.0134950863332602 3.14809980971917e-05 0.0133682062658702
1 1 1.0540420340249e-05 0.00531899421581434 4.41353931420943e-06 0.00522701899643262
1 1 8.97773527799375e-06 0.00516947082017647 3.28059704579204e-06 0.00500299215339831
1 1 6.85971027479545e-06 0.00296224607352599 3.53410056677226e-06 0.00278009935918924
1 1 3.4972889872481e-05 0.00447917334227295 3.02261878944947e-05 0.00426483036191688
0 1 1.5474703612923e-05 0.00805673278953664 1.6201779655548e-05 0.00758741839373423
