linear.pvalue gaussian.pvalue quadratic.pvalue linear.boost.stat gaussian.boost.stat quadratic.boost.stat linear.true.stat gaussian.true.stat quadratic.true.stat
1 1 1 85.5016812668652 88951.0128362936 127793.552746778 55.56269135446 8719.95319542878 29927.0966198519
1 0 1 9447.55368987667 3621.67107549838 289339.466722919 8172.24991747044 8069.0324531499 898.696874841032
1 0 0 593.355855572032 1987.11145382503 3451.96982505838 499.303171082059 32766.9407009998 5390.92855460055
1 0 0 775.269984056183 2641.32343827112 623.939197725359 660.369390318379 3424.29303905546 1485.70937386867
1 1 1 645.65612492165 17025.084279242 2177.99003935798 147.607616017332 6514.31041198776 47.5593573183844
1 1 1 530.291201438339 5005.36907241924 7504.69358610505 53.3060477653373 4021.71847926842 152.094145902552
1 1 0 695.437149718298 21756.8283654753 129.117131915412 273.039809019127 3564.16721021979 299.549559680337
0 0 1 112.104099975985 4718.15757974454 12038.0958429687 115.861873999605 9181.30278360655 625.083553070125
1 0 0 5079.53153217657 18880.2403121271 146.928712699564 746.191029826862 29929.2074190721 220.897129067008
1 1 1 55.9116433621749 2009.5727109511 15843.0504685698 55.23073760845 1764.01067584882 962.303021534733
0 0 0 2600.92316847444 8295.21934268295 397.887391806976 2836.25379395185 16928.3443689887 7164.75449001244
1 1 0 1197.04049193227 9096.71748731673 433.305129622196 288.238577470998 723.295400576516 9762.93133335603
1 0 1 774.410658909519 3064.78789745942 49867.983205445 669.3572474078 12533.8296542739 2139.26324859079
0 1 0 67.8936323525707 9471.16060313428 33806.4927711612 429.600661057817 1947.33873636865 49655.0564826904
0 1 0 12141.9638506645 5738.57094478062 1489.34865748309 39031.2466680068 3091.85240601628 56915.3919927715
1 0 0 10559.3042906988 5452.78324818173 1645.90157173694 7267.48981843556 21531.4027604874 59148.6525402166
0 1 1 22.5114840076998 7412.11474531382 1373.75890936502 22.9130594152525 1281.66089267751 269.515464063526
0 1 0 58.9216471243408 4852.45964292228 1775.53946695577 109.326017882884 4118.99079307813 5682.55371301799
1 1 0 2729.36070010399 46983.4579453073 437.305217626337 1457.74376938358 32068.3101668372 126572.482475691
1 0 0 2763.43972040765 7416.12247663018 505.491221342032 1849.79424794599 22985.0495554053 755.166396369581
1 1 0 242.51286779248 14683.1243941746 1539.05720611143 120.958851485733 2147.06557088692 61102.9019832555
0 0 1 773.919046766898 6574.702987337 225498.688167455 964.205627539814 9713.658574583 699.416212009544
1 0 0 4092.61573272025 22698.8061578023 1581.75932836618 702.00817111999 35816.3074298965 1864.72942861136
1 1 0 1715.54794424488 21768.4897976737 1161.61904673272 757.832408000658 6456.57114270527 22765.5029480506
0 0 0 2305.31867496733 14650.4389434027 353.919042006009 54197.0918969088 60281.2323863767 201398.998972473
1 1 1 34.3652023942758 12539.592084754 2912.11663633721 30.6938682186063 7946.06030627161 2608.20731469732
1 0 1 1495.31215717001 1764.92785451772 4562.31877816114 599.859853183417 13255.5486713128 254.340920834686
1 1 0 977.940729023371 46376.3335819873 148.46228369097 119.787627331363 1482.52860347845 158.49563594169
0 0 1 10.4708263101914 3909.63407605364 191846.513145953 29.3221233556167 4942.08710389713 56438.8160787095
0 0 1 477.06700663865 2830.14432904614 4077.12072393069 1085.23678333894 12365.4710776784 2892.18788596272
1 1 1 2467.48314586187 6224.0661256592 1020.31106292891 1507.31973921309 2338.49543122994 540.773472110202
1 1 0 3108.27899031338 7626.75375099527 1370.82470614893 2323.17571778496 4167.76485197199 53791.3936597722
1 1 1 97.2504110719426 8240.94138113358 1113.43089877533 15.4836863151554 1798.88501438968 82.0968441800779
1 0 1 1497.04022655385 2835.43286448011 1804.3060402762 922.558432088272 5930.33356078271 314.973139919088
