method p l int.effect mode strategy n power test
matern_2.5 2 1 0.3 loocv exp 100 0.61 asym
matern_2.5 2 1.5 0.3 loocv exp 100 0.815 asym
matern_2.5 2 0.5 0.3 loocv average 100 0.025 asym
matern_2.5 2 1 0.3 loocv average 100 0.555 asym
matern_2.5 2 1.5 0.3 loocv average 100 0.845 asym
matern_2.5 2 0.5 0.4 loocv exp 100 0.01 asym
matern_2.5 2 1 0.4 loocv exp 100 0.57 asym
matern_2.5 2 1.5 0.4 loocv exp 100 0.89 asym
matern_2.5 2 0.5 0.4 loocv average 100 0.025 asym
matern_2.5 2 1 0.4 loocv average 100 0.595 asym
matern_2.5 2 1.5 0.4 loocv average 100 0.88 asym
matern_2.5 2 0.5 0.5 loocv exp 100 0.01 asym
matern_2.5 2 1 0.5 loocv exp 100 0.6 asym
matern_2.5 2 1.5 0.5 loocv exp 100 0.855 asym
matern_2.5 2 0.5 0.5 loocv average 100 0.03 asym
matern_2.5 2 1 0.5 loocv average 100 0.655 asym
matern_2.5 2 1.5 0.5 loocv average 100 0.84 asym
matern_2.5 2 0.5 0.6 loocv exp 100 0.005 asym
matern_2.5 2 1 0.6 loocv exp 100 0.62 asym
matern_2.5 2 1.5 0.6 loocv exp 100 0.86 asym
matern_2.5 2 0.5 0.6 loocv average 100 0.02 asym
matern_2.5 2 1 0.6 loocv average 100 0.555 asym
matern_2.5 2 1.5 0.6 loocv average 100 0.89 asym
matern_2.5 2 0.5 0.7 loocv exp 100 0.005 asym
matern_2.5 2 1 0.7 loocv exp 100 0.615 asym
matern_2.5 2 1.5 0.7 loocv exp 100 0.85 asym
matern_2.5 2 0.5 0.7 loocv average 100 0.015 asym
matern_2.5 2 1 0.7 loocv average 100 0.575 asym
matern_2.5 2 1.5 0.7 loocv average 100 0.905 asym
matern_2.5 2 0.5 0.8 loocv exp 100 0.015 asym
matern_2.5 2 1 0.8 loocv exp 100 0.56 asym
matern_2.5 2 1.5 0.8 loocv exp 100 0.875 asym
matern_2.5 2 0.5 0.8 loocv average 100 0.015 asym
matern_2.5 2 1 0.8 loocv average 100 0.55 asym
matern_2.5 2 1.5 0.8 loocv average 100 0.835 asym
matern_2.5 2 0.5 0.9 loocv exp 100 0.015 asym
matern_2.5 2 1 0.9 loocv exp 100 0.595 asym
matern_2.5 2 1.5 0.9 loocv exp 100 0.875 asym
matern_2.5 2 0.5 0.9 loocv average 100 0.005 asym
matern_2.5 2 1 0.9 loocv average 100 0.555 asym
matern_2.5 2 1.5 0.9 loocv average 100 0.865 asym
matern_2.5 2 0.5 1 loocv exp 100 0.005 asym
matern_2.5 2 1 1 loocv exp 100 0.58 asym
matern_2.5 2 1.5 1 loocv exp 100 0.9 asym
matern_2.5 2 0.5 1 loocv average 100 0.03 asym
matern_2.5 2 1 1 loocv average 100 0.545 asym
matern_2.5 2 1.5 1 loocv average 100 0.845 asym
