method p l int.effect mode strategy n power test
rbf 3 1.5 0.2 loocv average 100 0.705 boot
rbf 3 1.5 0.2 loocv exp 100 0.69 boot
rbf 3 1.5 0.3 loocv average 100 0.65 boot
rbf 3 1.5 0.3 loocv exp 100 0.64 boot
rbf 3 1.5 0.4 loocv average 100 0.645 boot
rbf 3 1.5 0.4 loocv exp 100 0.62 boot
rbf 3 1.5 0.5 loocv average 100 0.605 boot
rbf 3 1.5 0.5 loocv exp 100 0.685 boot
rbf 3 1.5 0.6 loocv average 100 0.625 boot
rbf 3 1.5 0.6 loocv exp 100 0.66 boot
rbf 3 1.5 0.7 loocv average 100 0.67 boot
rbf 3 1.5 0.7 loocv exp 100 0.62 boot
rbf 3 1.5 0.8 loocv average 100 0.645 boot
rbf 3 1.5 0.8 loocv exp 100 0.615 boot
rbf 3 1.5 0.9 loocv average 100 0.655 boot
rbf 3 1.5 0.9 loocv exp 100 0.63 boot
rbf 3 1.5 1 loocv average 100 0.68 boot
rbf 3 1.5 1 loocv exp 100 0.67 boot
matern_1.5 1 0.5 0 loocv average 100 0 boot
matern_2.5 2 0.5 0 loocv average 100 0 boot
matern_1.5 1 0.5 0 loocv exp 100 0 boot
matern_2.5 2 0.5 0 loocv exp 100 0 boot
matern_1.5 1 0.5 0.1 loocv average 100 0 boot
matern_2.5 2 0.5 0.1 loocv average 100 0 boot
matern_1.5 1 0.5 0.1 loocv exp 100 0 boot
matern_2.5 2 0.5 0.1 loocv exp 100 0 boot
matern_1.5 1 0.5 0.2 loocv average 100 0 boot
matern_2.5 2 0.5 0.2 loocv average 100 0.005 boot
matern_1.5 1 0.5 0.2 loocv exp 100 0 boot
matern_2.5 2 0.5 0.2 loocv exp 100 0 boot
matern_1.5 1 0.5 0.3 loocv average 100 0 boot
matern_2.5 2 0.5 0.3 loocv average 100 0 boot
matern_1.5 1 0.5 0.3 loocv exp 100 0 boot
matern_2.5 2 0.5 0.3 loocv exp 100 0 boot
matern_1.5 1 0.5 0.4 loocv average 100 0.015 boot
matern_2.5 2 0.5 0.4 loocv average 100 0.015 boot
matern_1.5 1 0.5 0.4 loocv exp 100 0.02 boot
matern_2.5 2 0.5 0.4 loocv exp 100 0.02 boot
matern_1.5 1 0.5 0.5 loocv average 100 0.005 boot
matern_2.5 2 0.5 0.5 loocv average 100 0.005 boot
matern_1.5 1 0.5 0.5 loocv exp 100 0.025 boot
matern_2.5 2 0.5 0.5 loocv exp 100 0.015 boot
matern_1.5 1 0.5 0.6 loocv average 100 0.01 boot
matern_2.5 2 0.5 0.6 loocv average 100 0.035 boot
matern_1.5 1 0.5 0.6 loocv exp 100 0.005 boot
matern_2.5 2 0.5 0.6 loocv exp 100 0.01 boot
matern_1.5 1 0.5 0.7 loocv average 100 0.015 boot
matern_2.5 2 0.5 0.7 loocv average 100 0.01 boot
matern_1.5 1 0.5 0.7 loocv exp 100 0.025 boot
matern_2.5 2 0.5 0.7 loocv exp 100 0.02 boot
matern_1.5 1 0.5 0.8 loocv average 100 0.01 boot
matern_2.5 2 0.5 0.8 loocv average 100 0.005 boot
matern_1.5 1 0.5 0.8 loocv exp 100 0.015 boot
matern_2.5 2 0.5 0.8 loocv exp 100 0.015 boot
matern_1.5 1 0.5 0.9 loocv average 100 0 boot
matern_2.5 2 0.5 0.9 loocv average 100 0.015 boot
matern_1.5 1 0.5 0.9 loocv exp 100 0.01 boot
matern_2.5 2 0.5 0.9 loocv exp 100 0.025 boot
matern_1.5 1 0.5 1 loocv average 100 0.03 boot
matern_1.5 1 0.5 1 loocv average 100 0.025 boot
matern_1.5 1 0.5 1 loocv exp 100 0.005 boot
matern_1.5 1 0.5 1 loocv exp 100 0 boot
matern_1.5 1 1 0 loocv average 100 0 boot
matern_2.5 2 1 0 loocv average 100 0.01 boot
matern_1.5 1 1 0 loocv exp 100 0 boot
matern_2.5 2 1 0 loocv exp 100 0 boot
matern_1.5 1 1 0.1 loocv average 100 0.02 boot
matern_2.5 2 1 0.1 loocv average 100 0.145 boot
matern_1.5 1 1 0.1 loocv exp 100 0.025 boot
matern_2.5 2 1 0.1 loocv exp 100 0.185 boot
matern_1.5 1 1 0.2 loocv average 100 0.1 boot
matern_2.5 2 1 0.2 loocv average 100 0.335 boot
matern_1.5 1 1 0.2 loocv exp 100 0.05 boot
matern_2.5 2 1 0.2 loocv exp 100 0.33 boot
matern_1.5 1 1 0.3 loocv average 100 0.095 boot
matern_2.5 2 1 0.3 loocv average 100 0.38 boot
matern_1.5 1 1 0.3 loocv exp 100 0.135 boot
matern_2.5 2 1 0.3 loocv exp 100 0.375 boot
matern_1.5 1 1 0.4 loocv average 100 0.205 boot
matern_2.5 2 1 0.4 loocv average 100 0.41 boot
matern_1.5 1 1 0.4 loocv exp 100 0.17 boot
matern_2.5 2 1 0.4 loocv exp 100 0.435 boot
matern_1.5 1 1 0.5 loocv average 100 0.225 boot
matern_2.5 2 1 0.5 loocv average 100 0.42 boot
matern_1.5 1 1 0.5 loocv exp 100 0.19 boot
matern_2.5 2 1 0.5 loocv exp 100 0.37 boot
matern_1.5 1 1 0.6 loocv average 100 0.28 boot
matern_2.5 2 1 0.6 loocv average 100 0.445 boot
matern_1.5 1 1 0.6 loocv exp 100 0.225 boot
matern_2.5 2 1 0.6 loocv exp 100 0.42 boot
matern_1.5 1 1 0.7 loocv average 100 0.295 boot
matern_2.5 2 1 0.7 loocv average 100 0.475 boot
matern_1.5 1 1 0.7 loocv exp 100 0.2 boot
matern_2.5 2 1 0.7 loocv exp 100 0.39 boot
matern_1.5 1 1 0.8 loocv average 100 0.3 boot
matern_2.5 2 1 0.8 loocv average 100 0.42 boot
matern_1.5 1 1 0.8 loocv exp 100 0.275 boot
matern_2.5 2 1 0.8 loocv exp 100 0.44 boot
matern_1.5 1 1 0.9 loocv average 100 0.265 boot
matern_2.5 2 1 0.9 loocv average 100 0.435 boot
matern_1.5 1 1 0.9 loocv exp 100 0.27 boot
matern_2.5 2 1 0.9 loocv exp 100 0.48 boot
matern_1.5 1 1 1 loocv average 100 0.275 boot
matern_1.5 1 1 1 loocv average 100 0.385 boot
matern_1.5 1 1 1 loocv exp 100 0.325 boot
matern_1.5 1 1 1 loocv exp 100 0.335 boot
matern_1.5 1 1.5 0 loocv average 100 0 boot
matern_2.5 2 1.5 0 loocv average 100 0.045 boot
matern_1.5 1 1.5 0 loocv exp 100 0.005 boot
matern_2.5 2 1.5 0 loocv exp 100 0.045 boot
matern_1.5 1 1.5 0.1 loocv average 100 0.34 boot
matern_2.5 2 1.5 0.1 loocv average 100 0.575 boot
matern_1.5 1 1.5 0.1 loocv exp 100 0.33 boot
matern_2.5 2 1.5 0.1 loocv exp 100 0.58 boot
matern_1.5 1 1.5 0.2 loocv average 100 0.545 boot
matern_2.5 2 1.5 0.2 loocv average 100 0.75 boot
matern_1.5 1 1.5 0.2 loocv exp 100 0.525 boot
matern_2.5 2 1.5 0.2 loocv exp 100 0.675 boot
matern_1.5 1 1.5 0.3 loocv average 100 0.585 boot
matern_2.5 2 1.5 0.3 loocv average 100 0.745 boot
matern_1.5 1 1.5 0.3 loocv exp 100 0.6 boot
matern_2.5 2 1.5 0.3 loocv exp 100 0.725 boot
matern_1.5 1 1.5 0.4 loocv average 100 0.58 boot
matern_2.5 2 1.5 0.4 loocv average 100 0.72 boot
matern_1.5 1 1.5 0.4 loocv exp 100 0.615 boot
matern_2.5 2 1.5 0.4 loocv exp 100 0.745 boot
matern_1.5 1 1.5 0.5 loocv average 100 0.625 boot
matern_2.5 2 1.5 0.5 loocv average 100 0.725 boot
matern_1.5 1 1.5 0.5 loocv exp 100 0.6 boot
matern_2.5 2 1.5 0.5 loocv exp 100 0.725 boot
matern_1.5 1 1.5 0.6 loocv average 100 0.625 boot
matern_2.5 2 1.5 0.6 loocv average 100 0.675 boot
matern_1.5 1 1.5 0.6 loocv exp 100 0.65 boot
matern_2.5 2 1.5 0.6 loocv exp 100 0.74 boot
matern_1.5 1 1.5 0.7 loocv average 100 0.655 boot
matern_2.5 2 1.5 0.7 loocv average 100 0.72 boot
matern_1.5 1 1.5 0.7 loocv exp 100 0.64 boot
matern_2.5 2 1.5 0.7 loocv exp 100 0.745 boot
matern_1.5 1 1.5 0.8 loocv average 100 0.665 boot
matern_2.5 2 1.5 0.8 loocv average 100 0.735 boot
matern_1.5 1 1.5 0.8 loocv exp 100 0.645 boot
matern_2.5 2 1.5 0.8 loocv exp 100 0.745 boot
matern_1.5 1 1.5 0.9 loocv average 100 0.685 boot
matern_2.5 2 1.5 0.9 loocv average 100 0.73 boot
matern_1.5 1 1.5 0.9 loocv exp 100 0.715 boot
matern_2.5 2 1.5 0.9 loocv exp 100 0.75 boot
matern_1.5 1 1.5 1 loocv average 100 0.705 boot
matern_1.5 1 1.5 1 loocv average 100 0.64 boot
matern_1.5 1 1.5 1 loocv exp 100 0.71 boot
matern_1.5 1 1.5 1 loocv exp 100 0.66 boot
polynomial 1 0.5 0 loocv exp 100 0.04 asym
polynomial 1 0.5 0 loocv average 100 0.05 asym
polynomial 1 0.5 0.1 loocv exp 100 1 asym
polynomial 1 0.5 0.1 loocv average 100 1 asym
polynomial 1 0.5 0.2 loocv exp 100 1 asym
polynomial 1 0.5 0.2 loocv average 100 1 asym
